<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VN30INDEX,20200421,731.79,736.31,702.61,706.65,135788101
VN30INDEX,20200420,736.10,742.27,729.52,736.31,114065280
VN30INDEX,20200417,726.57,736.17,726.57,734.98,112188888
VN30INDEX,20200416,721.73,726.71,714.52,726.57,90463600
VN30INDEX,20200415,713.81,726.20,713.81,722.80,117466590
VN30INDEX,20200414,706.37,713.81,699.03,713.81,112119930
VN30INDEX,20200413,695.74,714.58,695.74,706.37,107475634
VN30INDEX,20200410,697.85,701.77,687.18,695.74,151458383
VN30INDEX,20200409,691.28,704.18,691.28,697.85,114066520
VN30INDEX,20200408,693.66,693.66,675.26,691.17,96873880
VN30INDEX,20200407,682.65,695.45,677.03,693.61,124562270
VN30INDEX,20200406,649.15,682.65,649.15,682.65,135897249
VN30INDEX,20200403,628.79,649.15,628.79,649.15,91320392
VN30INDEX,20200401,610.76,631.60,606.03,628.79,123990196
VN30INDEX,20200331,613.33,629.08,598.60,610.76,90378380
VN30INDEX,20200330,641.92,642.23,605.00,613.02,92040231
VN30INDEX,20200327,646.70,649.17,633.41,642.23,118446660
VN30INDEX,20200326,652.31,655.06,639.02,646.70,108246560
VN30INDEX,20200325,625.43,652.31,625.43,652.31,111300160
VN30INDEX,20200324,632.86,633.97,619.07,625.43,98200165
