<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VN30INDEX,20201009,869.80,875.52,868.36,874.53,125756012
VN30INDEX,20201008,870.88,873.13,864.55,869.82,148307202
VN30INDEX,20201007,870.98,876.31,867.06,870.85,165098470
VN30INDEX,20201006,867.74,872.39,866.12,871.37,156219930
VN30INDEX,20201005,861.65,869.09,861.65,867.70,129130841
VN30INDEX,20201002,867.93,870.80,850.61,861.51,168135120
VN30INDEX,20201001,859.27,868.30,859.27,867.58,117342270
VN30INDEX,20200930,856.07,860.10,852.54,858.54,115005042
VN30INDEX,20200929,863.59,871.99,856.20,856.20,148850199
VN30INDEX,20200928,854.71,863.98,854.71,863.31,169503454
VN30INDEX,20200925,853.19,856.79,850.10,854.71,125520670
VN30INDEX,20200924,858.14,858.89,852.29,853.21,103831198
VN30INDEX,20200923,852.72,860.34,852.72,858.30,125434157
VN30INDEX,20200922,851.54,854.69,846.03,852.72,135557800
VN30INDEX,20200921,841.28,852.65,841.28,851.54,127374440
VN30INDEX,20200918,832.46,842.10,832.46,841.26,114635860
VN30INDEX,20200917,834.60,837.76,829.08,831.84,107726810
VN30INDEX,20200916,833.33,834.52,831.33,834.50,62135810
VN30INDEX,20200915,832.27,835.42,831.13,833.33,109796440
VN30INDEX,20200914,825.56,833.09,825.56,832.24,77163830
