<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VN30INDEX,20201106,903.68,907.67,899.51,902.91,82499910
VN30INDEX,20201105,905.48,913.20,903.64,903.64,110290254
VN30INDEX,20201104,902.14,910.59,900.74,905.48,125417073
VN30INDEX,20201103,899.27,904.78,897.30,902.14,113806589
VN30INDEX,20201102,892.68,900.03,889.83,899.27,85228840
VN30INDEX,20201030,887.34,893.42,875.84,892.55,140892870
VN30INDEX,20201029,888.88,894.19,879.74,886.68,154467300
VN30INDEX,20201028,913.37,916.00,888.88,888.88,379237896
VN30INDEX,20201027,919.56,926.52,914.72,915.46,214919458
VN30INDEX,20201026,929.50,942.72,919.56,919.56,170799360
VN30INDEX,20201023,918.84,930.59,918.84,930.30,205096127
VN30INDEX,20201022,906.10,918.30,901.96,918.30,158587150
VN30INDEX,20201021,910.63,918.14,905.08,906.10,176641410
VN30INDEX,20201020,903.57,909.49,899.42,909.49,194150727
VN30INDEX,20201019,899.61,906.16,899.61,903.51,160760079
VN30INDEX,20201016,899.58,906.17,892.70,901.59,179181800
VN30INDEX,20201015,896.50,901.71,893.94,899.20,184342727
VN30INDEX,20201014,878.94,892.25,878.94,892.15,243947621
VN30INDEX,20201013,874.58,879.25,872.36,878.35,118308081
VN30INDEX,20201012,874.72,882.84,871.58,874.90,143885260
