<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VN30INDEX,20200813,789.26,795.69,789.26,795.09,66854578
VN30INDEX,20200812,784.58,790.01,784.23,788.42,85466650
VN30INDEX,20200811,784.74,788.92,781.04,784.57,67152353
VN30INDEX,20200810,782.15,791.67,782.15,784.30,85335270
VN30INDEX,20200807,781.61,785.99,778.45,782.15,73386057
VN30INDEX,20200806,780.69,787.27,776.04,781.60,68023430
VN30INDEX,20200805,767.54,782.09,761.26,780.71,111697444
VN30INDEX,20200804,759.19,768.46,759.19,768.22,71643110
VN30INDEX,20200803,740.33,758.30,738.64,757.86,80183860
VN30INDEX,20200731,745.33,747.56,731.14,740.73,67812170
VN30INDEX,20200730,735.30,746.74,735.30,746.02,62774611
VN30INDEX,20200729,755.14,755.14,722.85,735.16,97116510
VN30INDEX,20200728,730.55,757.50,730.55,756.17,111861366
VN30INDEX,20200727,767.30,767.30,726.02,729.93,142652298
VN30INDEX,20200724,798.89,798.89,760.56,772.29,145226300
VN30INDEX,20200723,797.94,800.29,794.59,800.29,145790350
VN30INDEX,20200722,804.26,806.93,797.82,797.85,85026427
VN30INDEX,20200721,803.55,806.34,799.98,804.70,71662450
VN30INDEX,20200720,814.16,814.16,803.36,803.36,79426520
VN30INDEX,20200717,819.27,819.27,812.61,814.16,76604847
