<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
UPCOM-INDEX,20201204,68.94,69.20,68.40,68.61,82093343
UPCOM-INDEX,20201203,68.60,69.04,68.60,69.02,42178607
UPCOM-INDEX,20201202,67.81,68.60,67.74,68.60,28720128
UPCOM-INDEX,20201201,66.89,67.81,66.56,67.81,39746536
UPCOM-INDEX,20201130,66.79,67.01,66.63,66.90,40252282
UPCOM-INDEX,20201127,66.48,66.86,66.41,66.79,34628004
UPCOM-INDEX,20201126,66.60,66.66,66.29,66.50,28957263
UPCOM-INDEX,20201125,66.60,67.05,66.46,66.60,32634660
UPCOM-INDEX,20201124,66.70,66.85,66.19,66.76,30058380
UPCOM-INDEX,20201123,66.43,66.73,66.42,66.69,35647219
UPCOM-INDEX,20201120,66.03,66.43,65.96,66.43,86623178
UPCOM-INDEX,20201119,65.88,66.07,65.83,66.05,22669777
UPCOM-INDEX,20201118,66.12,66.43,65.67,65.88,26482845
UPCOM-INDEX,20201117,64.84,66.15,64.83,66.15,52758740
UPCOM-INDEX,20201116,64.70,65.14,64.69,64.85,28984470
UPCOM-INDEX,20201113,64.53,64.81,64.48,64.70,26240533
UPCOM-INDEX,20201112,65.06,65.24,64.37,64.52,16104405
UPCOM-INDEX,20201111,64.19,65.11,64.11,65.03,14946721
UPCOM-INDEX,20201110,64.03,64.97,64.03,64.16,35991548
UPCOM-INDEX,20201109,63.60,64.05,63.37,64.02,34204148
