<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
UPCOM-INDEX,20200911,59.04,59.25,58.91,59.09,47893482
UPCOM-INDEX,20200910,58.84,59.11,58.81,59.03,23052765
UPCOM-INDEX,20200909,58.82,58.84,58.32,58.84,25282707
UPCOM-INDEX,20200908,58.64,58.87,58.50,58.82,23147288
UPCOM-INDEX,20200907,58.90,59.06,58.57,58.64,22755367
UPCOM-INDEX,20200904,58.97,59.00,58.45,58.89,37396994
UPCOM-INDEX,20200903,58.81,59.23,58.75,58.96,25883772
UPCOM-INDEX,20200901,58.82,58.88,58.55,58.80,24551364
UPCOM-INDEX,20200831,59.33,59.48,58.68,58.82,27339440
UPCOM-INDEX,20200828,59.05,59.42,58.99,59.33,38595512
UPCOM-INDEX,20200827,58.52,59.05,58.42,59.05,20053889
UPCOM-INDEX,20200826,58.19,58.61,58.14,58.52,30060901
UPCOM-INDEX,20200825,57.99,58.29,57.94,58.19,29253641
UPCOM-INDEX,20200824,57.40,58.45,57.36,57.98,35042079
UPCOM-INDEX,20200821,57.24,57.41,57.19,57.39,31058602
UPCOM-INDEX,20200820,57.17,57.30,57.03,57.24,19397997
UPCOM-INDEX,20200819,57.08,57.19,56.95,57.17,18247911
UPCOM-INDEX,20200818,56.86,57.13,56.78,57.09,34274640
UPCOM-INDEX,20200817,56.73,56.90,56.46,56.86,21861611
UPCOM-INDEX,20200814,56.86,57.02,56.59,56.74,29222298
