<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VN30INDEX,20200323,673.70,673.70,628.46,632.86,117790375
VN30INDEX,20200320,679.55,683.55,668.90,673.70,90717283
VN30INDEX,20200319,699.35,699.35,669.04,679.55,81268050
VN30INDEX,20200318,699.73,705.30,695.42,700.65,112617007
VN30INDEX,20200317,698.18,702.36,673.21,699.73,114495463
VN30INDEX,20200316,716.52,716.52,688.80,698.18,108031254
VN30INDEX,20200313,719.21,722.30,674.36,716.65,165194480
VN30INDEX,20200312,758.16,758.16,710.33,719.21,120241789
VN30INDEX,20200311,789.75,795.98,746.83,758.16,122247830
VN30INDEX,20200310,780.66,794.88,762.34,789.51,222800010
VN30INDEX,20200309,835.97,835.97,781.12,782.85,123922333
VN30INDEX,20200306,839.12,839.12,827.12,835.97,67820720
VN30INDEX,20200305,837.99,846.58,836.32,839.12,73069209
VN30INDEX,20200304,837.99,839.26,831.20,837.99,63938913
VN30INDEX,20200303,835.42,846.21,835.14,837.99,68939866
VN30INDEX,20200302,831.97,837.99,827.23,835.42,80301820
VN30INDEX,20200228,848.34,848.34,823.09,831.97,103877027
VN30INDEX,20200227,841.19,849.18,836.56,848.34,63947049
VN30INDEX,20200226,849.56,849.56,837.52,841.68,58896320
VN30INDEX,20200225,836.54,849.58,827.81,849.58,92349850
