<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VN30INDEX,20201204,985.44,988.68,983.03,984.34,189257728
VN30INDEX,20201203,979.95,986.40,978.16,985.44,380265030
VN30INDEX,20201202,976.35,981.28,973.58,979.95,210999920
VN30INDEX,20201201,965.89,976.44,951.92,976.35,388085500
VN30INDEX,20201130,971.11,975.46,965.89,965.89,197563674
VN30INDEX,20201127,964.16,971.11,963.69,971.11,160510756
VN30INDEX,20201126,960.63,964.16,953.46,964.16,181299982
VN30INDEX,20201125,959.61,963.81,957.09,960.63,187819530
VN30INDEX,20201124,960.03,964.53,948.67,960.03,194786360
VN30INDEX,20201123,950.89,961.35,946.14,960.03,178601192
VN30INDEX,20201120,944.92,950.89,942.28,950.89,133240600
VN30INDEX,20201119,937.67,945.06,936.32,944.92,175515186
VN30INDEX,20201118,935.24,939.62,931.18,937.67,165763450
VN30INDEX,20201117,916.25,934.65,916.25,934.65,137831581
VN30INDEX,20201116,931.40,939.10,915.23,915.97,176443089
VN30INDEX,20201113,923.00,931.20,923.00,931.20,128680880
VN30INDEX,20201112,916.68,923.00,916.21,923.00,89398908
VN30INDEX,20201111,916.98,919.95,910.39,916.68,121134143
VN30INDEX,20201110,917.45,929.66,916.50,916.50,145545906
VN30INDEX,20201109,902.91,917.42,902.91,917.42,118222970
