<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
UPCOM-INDEX,20201009,63.53,64.02,63.38,64.01,43516878
UPCOM-INDEX,20201008,63.99,64.04,62.95,63.53,30693803
UPCOM-INDEX,20201007,63.91,64.12,63.47,63.95,46843969
UPCOM-INDEX,20201006,62.81,63.91,62.81,63.91,38655243
UPCOM-INDEX,20201005,62.37,62.84,62.23,62.81,33145470
UPCOM-INDEX,20201002,62.43,62.78,61.63,62.35,68817244
UPCOM-INDEX,20201001,61.73,62.42,61.73,62.42,50209074
UPCOM-INDEX,20200930,61.53,61.78,61.32,61.73,33412485
UPCOM-INDEX,20200929,61.78,61.92,61.39,61.52,53161687
UPCOM-INDEX,20200928,61.28,61.79,61.24,61.78,33559452
UPCOM-INDEX,20200925,61.04,61.30,60.93,61.29,49109546
UPCOM-INDEX,20200924,60.96,61.22,60.80,61.00,33057634
UPCOM-INDEX,20200923,60.66,61.04,60.66,60.96,27678593
UPCOM-INDEX,20200922,60.71,60.74,60.34,60.66,41768499
UPCOM-INDEX,20200921,60.60,60.89,60.47,60.74,39817397
UPCOM-INDEX,20200918,59.88,60.60,59.75,60.59,56603626
UPCOM-INDEX,20200917,59.76,60.06,59.63,59.87,37388678
UPCOM-INDEX,20200916,59.56,59.80,59.54,59.76,32749221
UPCOM-INDEX,20200915,59.34,59.71,59.34,59.56,29276761
UPCOM-INDEX,20200914,59.09,59.53,59.05,59.41,35717909
