<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VN30INDEX,20200716,811.24,819.83,809.41,819.83,71793249
VN30INDEX,20200715,805.37,815.09,805.37,810.16,64989429
VN30INDEX,20200714,805.21,805.92,798.21,805.37,79127404
VN30INDEX,20200713,809.03,814.35,802.50,806.17,79061476
VN30INDEX,20200710,817.08,817.67,806.67,809.02,91245270
VN30INDEX,20200709,805.12,819.45,805.12,817.08,115197877
VN30INDEX,20200708,805.67,807.09,801.57,805.06,76203810
VN30INDEX,20200707,803.61,812.48,803.61,805.68,100703199
VN30INDEX,20200706,789.87,803.76,789.87,803.46,78408303
VN30INDEX,20200703,785.81,790.30,785.81,789.87,114778012
VN30INDEX,20200702,787.13,788.88,781.45,785.59,75138460
VN30INDEX,20200701,770.23,787.38,770.02,786.82,94773223
VN30INDEX,20200630,775.45,784.44,765.62,770.53,94225901
VN30INDEX,20200629,795.06,795.53,768.99,774.81,127824476
VN30INDEX,20200626,796.70,803.88,793.08,795.53,73350939
VN30INDEX,20200625,801.29,801.29,791.38,796.51,156438541
VN30INDEX,20200624,807.61,813.47,799.35,801.62,78294110
VN30INDEX,20200623,809.53,812.24,803.96,807.61,124568410
VN30INDEX,20200622,808.28,812.99,805.24,809.97,74971465
VN30INDEX,20200619,797.21,808.28,797.03,808.28,116452443
