<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
UPCOM-INDEX,20200716,56.98,57.19,56.86,57.03,11371075
UPCOM-INDEX,20200715,56.94,57.17,56.81,56.98,17515912
UPCOM-INDEX,20200714,57.56,57.56,56.77,56.94,16378719
UPCOM-INDEX,20200713,57.25,57.64,57.20,57.28,13321226
UPCOM-INDEX,20200710,57.16,57.33,57.02,57.25,27340008
UPCOM-INDEX,20200709,56.78,57.18,56.69,57.16,24323836
UPCOM-INDEX,20200708,56.35,56.81,56.24,56.78,14925182
UPCOM-INDEX,20200707,56.48,56.69,56.20,56.35,16437791
UPCOM-INDEX,20200706,56.26,56.57,56.19,56.48,17762716
UPCOM-INDEX,20200703,55.88,56.41,55.68,56.26,31515169
UPCOM-INDEX,20200702,56.05,56.17,55.73,55.89,11299315
UPCOM-INDEX,20200701,55.52,56.05,55.31,56.05,15408342
UPCOM-INDEX,20200630,55.47,56.02,55.12,55.52,27391396
UPCOM-INDEX,20200629,56.41,56.44,55.17,55.51,25083340
UPCOM-INDEX,20200626,56.63,56.84,56.26,56.41,33341895
UPCOM-INDEX,20200625,56.74,56.74,56.27,56.63,15503777
UPCOM-INDEX,20200624,56.64,56.92,56.41,56.74,19749472
UPCOM-INDEX,20200623,56.67,56.90,56.33,56.64,24307626
UPCOM-INDEX,20200622,56.33,56.84,56.33,56.68,25122957
UPCOM-INDEX,20200619,55.77,56.42,55.74,56.34,50490345
