<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VN30INDEX,20200618,796.43,800.03,788.72,797.08,76216630
VN30INDEX,20200617,798.82,802.06,793.20,796.43,82976640
VN30INDEX,20200616,779.80,801.42,778.71,798.82,112197434
VN30INDEX,20200615,808.58,813.59,778.71,778.71,366144725
VN30INDEX,20200612,803.11,807.76,782.70,807.76,192722630
VN30INDEX,20200611,839.69,842.76,806.64,806.87,208884910
VN30INDEX,20200610,836.80,842.21,827.60,839.11,169060826
VN30INDEX,20200609,838.52,843.58,836.13,837.02,171280532
VN30INDEX,20200608,826.79,845.63,826.79,838.52,174354725
VN30INDEX,20200605,823.77,826.47,818.33,826.47,159432619
VN30INDEX,20200604,824.29,831.49,823.51,823.77,151784073
VN30INDEX,20200603,819.02,824.54,818.33,824.29,96376940
VN30INDEX,20200602,821.89,827.11,818.12,818.70,171449173
VN30INDEX,20200601,806.23,821.47,806.23,821.47,192008310
VN30INDEX,20200529,804.00,808.83,801.46,806.23,81915120
VN30INDEX,20200528,801.36,810.43,800.16,804.06,130053247
VN30INDEX,20200527,816.04,821.36,801.36,801.36,130066290
VN30INDEX,20200526,807.55,815.96,807.55,815.01,106561220
VN30INDEX,20200525,803.35,809.12,799.23,807.25,101096493
VN30INDEX,20200522,815.51,815.51,802.82,803.14,104222793
