<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
UPCOM-INDEX,20200521,54.00,54.36,53.98,54.31,15371465
UPCOM-INDEX,20200520,53.80,54.15,53.75,54.01,19080784
UPCOM-INDEX,20200519,53.29,54.01,53.28,53.80,47180405
UPCOM-INDEX,20200518,53.15,53.31,53.01,53.29,17986484
UPCOM-INDEX,20200515,53.48,53.61,53.11,53.15,27397993
UPCOM-INDEX,20200514,53.73,53.73,53.44,53.48,23036898
UPCOM-INDEX,20200512,53.49,53.63,53.01,53.63,20519165
UPCOM-INDEX,20200511,52.90,53.49,52.90,53.49,24517017
UPCOM-INDEX,20200508,52.36,53.13,52.28,52.91,33503181
UPCOM-INDEX,20200507,52.35,52.46,52.21,52.37,15494667
UPCOM-INDEX,20200506,51.98,52.34,51.86,52.34,17450678
UPCOM-INDEX,20200505,51.91,52.03,51.71,51.98,8484575
UPCOM-INDEX,20200504,52.22,52.29,51.79,51.91,13994702
UPCOM-INDEX,20200429,52.11,52.39,52.06,52.22,13485765
UPCOM-INDEX,20200428,51.96,52.13,51.80,52.11,13271779
UPCOM-INDEX,20200427,51.67,51.97,51.57,51.97,18623693
UPCOM-INDEX,20200424,51.74,51.87,51.48,51.66,17171037
UPCOM-INDEX,20200423,51.48,52.03,51.47,51.74,15289177
UPCOM-INDEX,20200422,51.18,51.58,50.71,51.48,18481098
UPCOM-INDEX,20200421,52.64,52.72,51.01,51.18,27781524
