<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VN30INDEX,20200521,803.57,815.55,802.49,815.55,144053030
VN30INDEX,20200520,799.28,803.35,793.75,803.32,103958460
VN30INDEX,20200519,787.53,808.17,787.53,799.31,148957080
VN30INDEX,20200518,774.07,787.27,770.61,787.27,89464750
VN30INDEX,20200515,780.73,785.26,771.25,773.95,88573880
VN30INDEX,20200514,783.69,785.10,773.62,780.73,133168275
VN30INDEX,20200513,781.85,788.06,760.20,783.69,130261112
VN30INDEX,20200512,777.35,783.77,766.70,782.45,111888980
VN30INDEX,20200511,760.15,777.13,760.15,777.13,127388024
VN30INDEX,20200508,740.14,773.22,740.14,760.15,154732603
VN30INDEX,20200507,726.17,739.98,726.17,739.98,88938030
VN30INDEX,20200506,711.34,725.94,709.77,725.94,124509782
VN30INDEX,20200505,710.22,714.59,707.49,711.01,67391188
VN30INDEX,20200504,714.90,716.05,706.47,709.35,78733204
VN30INDEX,20200429,715.47,719.18,713.62,715.33,86911693
VN30INDEX,20200428,719.45,721.73,711.84,715.74,80651380
VN30INDEX,20200427,730.77,735.28,719.66,719.66,113464824
VN30INDEX,20200424,717.49,725.52,711.14,725.05,77989710
VN30INDEX,20200423,715.62,729.99,715.62,717.49,69432480
VN30INDEX,20200422,706.54,718.62,692.03,714.42,93778240
