<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VN30INDEX,20200911,825.85,827.83,821.97,825.56,78634600
VN30INDEX,20200910,825.15,832.61,825.15,825.85,146183936
VN30INDEX,20200909,827.50,828.38,816.51,824.42,92100820
VN30INDEX,20200908,824.36,829.22,819.02,827.57,93343316
VN30INDEX,20200907,840.64,843.80,824.36,824.36,114515010
VN30INDEX,20200904,843.64,843.64,833.54,840.54,111895660
VN30INDEX,20200903,832.27,844.27,832.27,843.64,135282157
VN30INDEX,20200901,823.93,832.87,821.74,832.03,87082305
VN30INDEX,20200831,822.01,831.76,820.66,823.93,89260791
VN30INDEX,20200828,814.55,828.88,814.55,821.93,133178776
VN30INDEX,20200827,812.47,814.64,810.68,814.55,77384170
VN30INDEX,20200826,815.18,816.68,811.45,812.36,96814910
VN30INDEX,20200825,809.34,818.94,809.34,815.18,222079350
VN30INDEX,20200824,793.46,810.17,793.46,809.69,113941421
VN30INDEX,20200821,786.11,795.05,786.11,793.60,83707518
VN30INDEX,20200820,789.49,793.35,783.57,786.11,94719040
VN30INDEX,20200819,787.23,791.85,786.01,789.41,59855720
VN30INDEX,20200818,791.60,792.13,784.93,786.95,58557540
VN30INDEX,20200817,791.98,793.61,782.52,791.54,68015231
VN30INDEX,20200814,795.09,801.61,789.12,791.98,87152160
