<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
UPCOM-INDEX,20200320,49.90,50.05,49.60,49.85,19132334
UPCOM-INDEX,20200319,50.37,50.38,49.67,49.90,11432876
UPCOM-INDEX,20200318,50.30,50.63,50.26,50.37,16927165
UPCOM-INDEX,20200317,50.15,50.35,49.67,50.31,25622172
UPCOM-INDEX,20200316,50.47,50.56,49.96,50.15,26812347
UPCOM-INDEX,20200313,50.92,50.93,49.44,50.49,29006809
UPCOM-INDEX,20200312,52.47,52.47,50.66,50.92,36027815
UPCOM-INDEX,20200311,53.41,53.82,52.34,52.48,18542079
UPCOM-INDEX,20200310,52.44,53.55,52.20,53.41,16492014
UPCOM-INDEX,20200309,55.41,55.41,52.20,52.44,33683070
UPCOM-INDEX,20200306,55.45,55.52,55.06,55.42,16097229
UPCOM-INDEX,20200305,55.54,55.80,55.30,55.45,18943029
UPCOM-INDEX,20200303,55.17,55.60,55.18,55.47,44568345
UPCOM-INDEX,20200302,55.08,55.26,54.89,55.17,29574105
UPCOM-INDEX,20200228,55.52,55.52,54.87,55.05,19747395
UPCOM-INDEX,20200227,55.34,55.60,55.27,55.52,14929253
UPCOM-INDEX,20200226,55.48,55.48,55.16,55.34,12622962
UPCOM-INDEX,20200225,55.23,55.55,54.75,55.53,15012509
UPCOM-INDEX,20200224,56.30,56.30,55.19,55.23,17278773
UPCOM-INDEX,20200221,56.34,56.70,56.16,56.30,19543475
