<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAV,20201215,10.1,11.1,10.1,11,502095
ACM,20201215,0.8,0.9,0.8,0.8,347965
ADC,20201215,18.1,18.1,18.1,18.1,100
ALT,20201215,12.1,12.1,11.1,11.1,5700
AMC,20201215,19.7,19.7,19.7,19.7,100
AME,20201215,6.6,7.1,6.6,7.1,520
AMV,20201215,17.2,17.3,17.1,17.1,485824
APP,20201215,3.4,3.4,3.4,3.4,10
APS,20201215,3.8,4,3.8,4,539940
ART,20201215,2.7,2.8,2.7,2.7,1970909
ATS,20201215,28.5,28.5,28.5,28.5,100
BAX,20201215,69.1,70,68.8,69,17800
BBS,20201215,11.9,11.9,11.9,11.9,100
BCC,20201215,7.7,7.8,7.6,7.6,505044
BCF,20201215,46,46,46,46,100
BII,20201215,1.6,1.7,1.6,1.7,1105629
BKC,20201215,5.6,5.6,5.6,5.6,1037
BNA,20201215,33.5,33.7,33.4,33.4,69900
BTS,20201215,4.5,4.5,4.3,4.3,8954
BVS,20201215,14.1,14.2,13.7,14,972796
C69,20201215,7.6,7.6,7.4,7.5,49500
C92,20201215,3.4,3.4,3.4,3.4,500
CAN,20201215,28.1,28.1,28.1,28.1,1000
CAP,20201215,37.7,37.7,37.2,37.6,5400
CDN,20201215,24.2,25.8,24.2,25.8,1100
CEO,20201215,8.3,8.7,8.1,8.4,6131541
CET,20201215,2.9,3,2.9,3,54300
CIA,20201215,14.1,14.2,14,14,19139
CLH,20201215,21,21,20.9,21,1500
CMS,20201215,2.6,2.6,2.5,2.6,18282
CPC,20201215,16.4,16.5,16.4,16.5,319
CSC,20201215,20,21.1,20,21,8480
CTP,20201215,3.3,3.3,3.2,3.2,56000
CTX,20201215,7,7.1,7,7.1,3900
CVN,20201215,10.6,11,10.6,10.9,185310
D11,20201215,26.6,26.6,26.6,26.6,300
DAD,20201215,17.7,17.7,17.5,17.5,3100
DAE,20201215,14.7,14.8,14.7,14.8,6100
DDG,20201215,28.1,28.6,28,28.4,122900
DHT,20201215,55.1,55.1,54,54.8,9010
DIH,20201215,12,12.1,12,12.1,3100
DL1,20201215,27.9,27.9,27.9,27.9,500
DNM,20201215,41,41.8,40.9,41.8,17290
DNP,20201215,17.8,17.8,17.8,17.8,1106
DP3,20201215,84.6,86,84.6,86,3700
DPC,20201215,12.7,12.7,12.7,12.7,100
DS3,20201215,4,4.1,3.9,3.9,79100
DST,20201215,2.6,2.7,2.5,2.6,631610
DTD,20201215,27.7,28.9,27.7,28.5,236315
DXP,20201215,16,16.8,15.7,16.4,395353
DZM,20201215,3.2,3.3,3.2,3.3,49400
EBS,20201215,8.2,8.2,8.2,8.2,1800
EID,20201215,13.7,14,13.7,14,17045
FID,20201215,1.1,1.1,0.9,1,254730
GIC,20201215,18.9,18.9,18.7,18.7,8000
GKM,20201215,16.4,16.5,16.4,16.4,281100
GLT,20201215,18.9,20,18.9,19.9,9330
GMA,20201215,33,36.3,33,36.3,1200
HAD,20201215,17.5,17.7,17.5,17.6,10300
HAT,20201215,24.5,24.5,23.5,24.4,9200
HBS,20201215,3.3,3.4,3.3,3.4,80800
HCC,20201215,10,10.2,10,10.2,12958
HCT,20201215,10.5,10.5,10.5,10.5,4300
HDA,20201215,8.4,8.6,8.3,8.4,56000
HEV,20201215,13.8,13.8,13.8,13.8,102
HHC,20201215,94.4,94.4,94.4,94.4,12
HHG,20201215,1.3,1.3,1.2,1.2,23115
HHP,20201215,12.7,12.9,12.6,12.6,310100
HJS,20201215,33.4,34.5,30.3,34.5,1002800
HLC,20201215,7.3,7.3,7.3,7.3,100
HLD,20201215,28,28.9,27,28.7,546040
HMH,20201215,9.8,10.1,9.8,10,27100
HOM,20201215,3.2,3.3,3.2,3.3,32300
HTC,20201215,28,28,28,28,100
HUT,20201215,2.8,3,2.8,3,20491709
HVT,20201215,31,31,31,31,500
IDC,20201215,33.1,35,33.1,35,2529951
IDJ,20201215,15.8,17,15.5,16.5,587356
IDV,20201215,56.5,57.5,56.5,57,24627
INN,20201215,31,32.3,31,32.1,3000
