<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ITQ,20201215,2.4,2.5,2.3,2.4,149600
IVS,20201215,5.9,6,5.7,6,75300
KDM,20201215,2,2,1.8,2,126400
KKC,20201215,7,7.1,7,7.1,14000
KLF,20201215,1.9,1.9,1.7,1.9,4724615
KMT,20201215,8.1,8.1,8.1,8.1,800
KSQ,20201215,1.6,1.6,1.5,1.6,9600
KTS,20201215,14.5,14.5,14.5,14.5,100
KVC,20201215,1.1,1.2,1.1,1.1,104622
L14,20201215,51.8,51.9,51.5,51.9,44883
L61,20201215,6.9,6.9,6.9,6.9,2
LAS,20201215,7.4,7.6,7.3,7.5,421120
LCS,20201215,1.9,2,1.9,2,102400
LDP,20201215,11.5,12.4,11.5,12.4,1020
LHC,20201215,44.2,44.8,44,44.5,13716
LIG,20201215,5.6,5.6,5.4,5.5,253801
LM7,20201215,3.8,4,3.7,4,800
LUT,20201215,4.2,4.2,4.1,4.2,37150
MAC,20201215,6,6,6,6,8107
MAS,20201215,36.9,36.9,36.9,36.9,500
MBG,20201215,5.1,5.2,5,5.1,981437
MBS,20201215,14.3,14.3,13.9,13.9,356068
MCF,20201215,8.7,9.1,8.7,9.1,15538
MCO,20201215,2,2,1.9,1.9,341
MDC,20201215,7,7.3,7,7.3,7330
MHL,20201215,3.1,3.2,3,3.1,5200
MIM,20201215,7.3,7.3,7.3,7.3,100
MPT,20201215,1.7,1.7,1.6,1.6,59559
MST,20201215,5,5.5,5,5.2,1792954
NAG,20201215,4.6,4.6,4.5,4.5,23700
NAP,20201215,12.5,12.5,12.5,12.5,100
NBC,20201215,6.1,6.2,5.9,5.9,45920
NBP,20201215,12.4,12.4,12.3,12.3,200
NBW,20201215,27,27,27,27,100
NDN,20201215,20.1,21.2,20,20.7,2031448
NDX,20201215,8.6,8.6,8.5,8.5,11000
NET,20201215,58.3,58.6,58,58.6,2210
NGC,20201215,2.7,2.7,2.5,2.5,13300
NHA,20201215,18.4,19.7,18.4,19,200946
NHC,20201215,27.6,27.6,27.6,27.6,100
NRC,20201215,13.4,13.4,12.9,13.2,133214
NSH,20201215,4.4,4.4,4.1,4.2,134601
NST,20201215,6.9,7,6.9,7,10224
NTP,20201215,36.9,37,36.6,36.7,80616
NVB,20201215,8.3,8.6,8.3,8.4,4321818
ONE,20201215,4.1,4.3,4.1,4.2,19800
PBP,20201215,7.5,7.7,7.5,7.5,2200
PCE,20201215,9.1,9.1,9,9,1300
PDB,20201215,7.6,7.6,7.6,7.6,2230
PGN,20201215,12.4,13,12.4,12.8,129120
PGS,20201215,18.8,19.4,18.8,19.4,72363
PGT,20201215,3.2,3.2,3.2,3.2,90
PHN,20201215,27.5,27.5,27.5,27.5,100
PHP,20201215,15.9,16.1,15.6,15.8,62010
PIA,20201215,26.9,28.6,26.9,28.6,5004
PIC,20201215,9.1,9.1,9.1,9.1,900
PLC,20201215,26.6,27.3,26.6,26.7,523041
PMC,20201215,53.4,56.9,53.4,56.9,1093
PMP,20201215,10,10,10,10,100
POT,20201215,17.1,17.1,17.1,17.1,6
PPP,20201215,12.6,12.6,12.6,12.6,20
PPS,20201215,7.4,7.5,7.4,7.5,9300
PSC,20201215,13.1,13.1,13.1,13.1,150
PSD,20201215,15.2,15.8,14.9,15.7,66054
PSE,20201215,7.8,7.8,7.8,7.8,200
PSI,20201215,4,4,4,4,1050
PTI,20201215,20.7,20.7,20.7,20.7,200
PTS,20201215,6.9,7,6.9,6.9,7800
PV2,20201215,2.5,2.6,2.5,2.6,200
PVB,20201215,16.2,17.2,16,16.8,823641
PVC,20201215,6.7,6.8,6.6,6.6,328558
PVG,20201215,8,8,7.8,7.8,12100
PVI,20201215,31,31.2,30.3,30.4,73224
PVL,20201215,1.2,1.2,1.1,1.1,210300
PVS,20201215,15.9,15.9,15.5,15.7,6774083
QHD,20201215,26,26.8,26,26.8,1000
QTC,20201215,15,15.1,15,15.1,6200
RCL,20201215,18.2,18.3,18.2,18.3,200341
S55,20201215,25,25,25,25,25300
S74,20201215,4.2,4.2,4.2,4.2,90
S99,20201215,15.9,17.4,15.7,17.4,107230
SAF,20201215,50,50,50,50,100
SCI,20201215,66.8,73.4,66.8,73.4,36715
SD2,20201215,5.5,5.8,5.5,5.8,4100
SD4,20201215,3.7,3.9,3.7,3.9,1100
SD5,20201215,6.6,6.6,6.4,6.4,120220
SD6,20201215,2.6,2.7,2.6,2.6,65200
SD9,20201215,6.7,6.7,6.7,6.7,7200
SDC,20201215,10.6,10.6,10.6,10.6,100
SDG,20201215,28,28,28,28,59
SDT,20201215,4.5,4.5,4.5,4.5,267900
SEB,20201215,35.8,36.1,33,36.1,53300
SED,20201215,16,16,16,16,100
SGH,20201215,36.7,36.7,36.7,36.7,100
SHB,20201215,17.2,17.4,17,17,6976311
SHE,20201215,17.5,17.5,17.5,17.5,2313
SHN,20201215,7.5,7.7,7.1,7.1,11150
SHS,20201215,16.1,16.7,16,16.3,5341176
SIC,20201215,11.5,12,11.5,12,2414
SJE,20201215,19,19,18.2,18.9,5582
SLS,20201215,65.8,66.7,65.8,66,23753
SPI,20201215,1.6,1.6,1.6,1.6,517500
SRA,20201215,9.8,10.7,9.7,10.4,905487
SSM,20201215,4.5,4.5,4.5,4.5,1020
STC,20201215,14.5,14.5,14.5,14.5,100
STP,20201215,7,7.4,6.8,7.4,3391
SVN,20201215,1.7,1.8,1.7,1.7,41800
SZB,20201215,35.2,36.5,35.1,36,50410
TA9,20201215,9.8,9.9,9.7,9.8,15700
TAR,20201215,20.9,22.2,20.7,22.1,1931641
TC6,20201215,4.6,4.6,4.6,4.6,8300
TDN,20201215,7.8,7.8,7.5,7.5,98063
TDT,20201215,13,13.5,13,13.3,179100
THD,20201215,61.7,61.7,61.4,61.7,436900
THT,20201215,7.7,7.8,7.7,7.7,15400
TIG,20201215,6.2,6.2,6,6.1,1054999
TJC,20201215,12.5,12.5,10.6,12.5,10900
TKC,20201215,5.5,5.9,5.4,5.8,20022
TKU,20201215,11.3,11.3,11.3,11.3,700
TMB,20201215,17.1,17.1,17,17,600
TNG,20201215,15.8,16,15.5,15.6,1965954
TST,20201215,11.8,11.8,11.8,11.8,1400
TTH,20201215,1.8,1.8,1.7,1.7,277134
TTL,20201215,7.4,8.2,6.9,8.2,13200
TTZ,20201215,3.4,3.7,3.4,3.5,93800
TV3,20201215,25.5,25.5,25.5,25.5,100
TV4,20201215,13,13,13,13,300
TVC,20201215,12.3,12.3,12,12.3,857838
TVD,20201215,7.7,7.7,7.4,7.7,190700
TXM,20201215,5.5,5.5,5,5.3,83625
UNI,20201215,7.6,7.6,7.6,7.6,100
V12,20201215,9.9,9.9,9.1,9.1,1200
V21,20201215,4.2,4.4,4.2,4.4,16160
VBC,20201215,18.1,18.3,18,18.3,9900
VC3,20201215,16.7,16.9,16.7,16.8,174300
VC6,20201215,7.6,7.6,7.6,7.6,700
VC7,20201215,4.3,4.5,4.3,4.4,24767
VC9,20201215,4.4,4.4,4.2,4.2,2700
VCC,20201215,12.1,13.4,12.1,13.4,11300
VCG,20201215,41.5,41.7,41.3,41.5,134285
VCM,20201215,16.2,16.2,16.2,16.2,1100
VCS,20201215,82,83,81.3,82.5,359940
VDL,20201215,23.6,23.6,23.6,23.6,1500
VE8,20201215,6.3,6.3,6.3,6.3,200
VGS,20201215,12.5,12.7,12.2,12.4,199144
VHE,20201215,3.7,3.8,3.6,3.6,54500
VHL,20201215,26.1,26.1,26.1,26.1,19
VIG,20201215,1.3,1.3,1.2,1.3,5679503
VIT,20201215,14.5,14.8,14.5,14.8,141950
VIX,20201215,21.6,21.6,20.2,20.8,5432469
VKC,20201215,4.2,4.2,4.1,4.1,13246
VMC,20201215,10.6,10.7,10.5,10.6,4420
VNF,20201215,36.3,36.3,36.3,36.3,100
VNR,20201215,19,19.1,19,19,15660
VSA,20201215,15.6,15.6,15.6,15.6,4400
VSM,20201215,15,15,15,15,3500
VTC,20201215,9.2,9.2,8.7,8.7,1186
VTJ,20201215,3.7,3.7,3.7,3.7,1000
VTV,20201215,5.2,5.2,5.2,5.2,100
VXB,20201215,5.5,5.5,5.5,5.5,100
WCS,20201215,214,214,209,209.5,2060
WSS,20201215,2.7,2.7,2.6,2.7,233400
