<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HCC,20201214,10,10.2,10,10,30320
HCT,20201214,10,10,10,10,4
HDA,20201214,8.5,8.5,8.3,8.4,93210
HHC,20201214,90,94.4,90,94.4,318
HHG,20201214,1.2,1.3,1.2,1.2,14000
HHP,20201214,12.9,13.1,12.6,12.7,232320
HLC,20201214,6.7,6.8,6.7,6.8,4200
HLD,20201214,26.9,28.1,26.8,27.7,294403
HMH,20201214,9.7,9.9,9.7,9.9,28400
HOM,20201214,3.2,3.2,3.2,3.2,12560
HUT,20201214,2.8,2.8,2.7,2.8,1744296
HVT,20201214,30,33,29.7,31,1900
ICG,20201214,6.3,6.3,6.3,6.3,1510
IDC,20201214,32.4,33.8,32.4,33.1,904910
IDJ,20201214,14.8,15.6,14.8,15.5,626937
IDV,20201214,56.8,57,56.3,56.5,26465
INC,20201214,9.7,9.7,9.7,9.7,2100
INN,20201214,32.8,32.8,31.1,32.3,2240
ITQ,20201214,2.3,2.4,2.3,2.4,40500
IVS,20201214,5.8,6,5.6,5.9,26500
KKC,20201214,7,7,7,7,11200
KLF,20201214,1.8,1.8,1.7,1.8,2345318
KMT,20201214,8,8,8,8,4200
KSD,20201214,4.4,4.4,4.4,4.4,111
KSQ,20201214,1.5,1.6,1.5,1.6,2500
KTS,20201214,15.6,15.6,14.5,14.6,1610
KTT,20201214,3.3,3.3,3.1,3.2,24000
KVC,20201214,1.2,1.2,1.1,1.1,83130
L14,20201214,51.8,52,51.6,51.7,62517
LAS,20201214,7.4,7.6,7.3,7.4,409850
LCS,20201214,1.9,2,1.9,1.9,12800
LDP,20201214,12.5,12.5,12.5,12.5,310
LHC,20201214,44.8,44.8,44.2,44.3,18100
LIG,20201214,5.5,5.8,5.5,5.6,377519
LM7,20201214,3.4,3.9,3.4,3.7,90600
LUT,20201214,3.9,3.9,3.9,3.9,27170
MAC,20201214,6.5,6.5,6,6,5790
MAS,20201214,36,36.9,36,36.9,1200
MBG,20201214,5.1,5.2,5,5.1,741980
MBS,20201214,13.6,14.3,13.6,14.2,815948
MCF,20201214,8.3,9.3,8.3,9.1,2900
MCO,20201214,1.9,1.9,1.9,1.9,4600
MDC,20201214,7,7,7,7,2200
MED,20201214,39,39,39,39,43
MHL,20201214,3.1,3.2,3.1,3.2,710
MPT,20201214,1.6,1.7,1.6,1.6,208470
MST,20201214,4.7,5,4.6,5,1587141
MVB,20201214,12.2,12.8,12.1,12.8,1500
NAG,20201214,4.6,4.7,4.5,4.7,36853
NAP,20201214,10.6,11.9,10.6,11.9,2100
NBC,20201214,5.5,5.9,5.5,5.9,673110
NBP,20201214,11.4,11.4,11.4,11.4,200
NDN,20201214,19.9,20.4,19.8,20.1,539865
NDX,20201214,8.5,8.5,8.5,8.5,900
NET,20201214,58.6,58.6,58.6,58.6,100
NGC,20201214,2.5,2.6,2.5,2.5,4600
NHA,20201214,17.8,18.4,17.7,18.4,157654
NHC,20201214,30.5,30.5,30.5,30.5,4
NRC,20201214,13.9,13.9,13,13.2,122020
NSH,20201214,4.9,4.9,4.3,4.5,103800
NST,20201214,6.8,7.1,6.8,7.1,6813
NTH,20201214,29.4,29.4,29.4,29.4,1500
NTP,20201214,37,37,36.1,36.9,45841
NVB,20201214,8.6,8.6,8.3,8.3,3284225
OCH,20201214,9.9,10.4,9.9,10.4,700
ONE,20201214,4.3,4.3,4.2,4.2,9324
PBP,20201214,8.1,8.1,8.1,8.1,100
PCE,20201214,9.1,9.1,9,9.1,4000
PCT,20201214,5.2,5.2,5.2,5.2,5100
PDB,20201214,7.6,7.6,7.6,7.6,100
PDC,20201214,3.1,3.1,3.1,3.1,2000
PGN,20201214,12.5,12.7,12.2,12.5,62309
PGS,20201214,19.7,19.7,19.1,19.4,78110
PGT,20201214,3.2,3.2,3.2,3.2,200
PHP,20201214,15.6,16.2,15.6,16,112451
PIA,20201214,27,27,27,27,500
PIC,20201214,9.1,9.1,9.1,9.1,1515
PLC,20201214,26.5,26.8,26.2,26.5,553170
PMC,20201214,57,57,57,57,10
PMS,20201214,15.5,15.5,15.5,15.5,1000
PPP,20201214,13,13,12.6,12.6,300
PSC,20201214,13.1,13.1,13.1,13.1,100
PSD,20201214,15.3,15.3,14.6,14.6,51206
PSE,20201214,7.9,7.9,7.2,7.2,800
PSI,20201214,4,4.2,4,4.1,2889
PSW,20201214,8.2,8.2,8.2,8.2,100
PTI,20201214,23,23,23,23,10
PTS,20201214,7,7,6.9,6.9,3500
PV2,20201214,2.5,2.7,2.5,2.7,4700
PVB,20201214,16.3,16.5,16.2,16.2,300755
PVC,20201214,6.4,6.8,6.4,6.7,691307
PVG,20201214,7.8,8,7.8,8,32600
PVI,20201214,30.6,30.6,30.3,30.5,60410
PVL,20201214,1.1,1.2,1.1,1.1,196800
PVS,20201214,15.4,16,15.4,15.9,11802454
RCL,20201214,18.2,18.2,18,18,200100
S55,20201214,25,25,25,25,15220
S74,20201214,4.5,4.5,4.2,4.2,1700
S99,20201214,15.8,16,15.8,15.9,1800
SAF,20201214,48.8,48.8,48.8,48.8,44
SCI,20201214,66,66.8,66,66.8,7233
SD2,20201214,5.6,5.8,5.6,5.8,2400
SD4,20201214,3.9,3.9,3.9,3.9,2000
SD5,20201214,6.7,6.7,6.5,6.6,58500
SD6,20201214,2.6,2.7,2.6,2.7,162340
SD9,20201214,6.5,6.7,6.5,6.7,13334
SDC,20201214,9.7,9.7,9.7,9.7,170
SDG,20201214,28.6,28.6,28,28,3000
SDT,20201214,4.3,4.6,4.3,4.5,135400
SED,20201214,15.9,15.9,15.8,15.9,10900
SFN,20201214,23,23,23,23,100
SGH,20201214,36.6,36.6,36.6,36.6,700
SHB,20201214,17.3,17.4,17.1,17.2,9006160
SHE,20201214,17.3,17.5,17.3,17.5,2300
SHN,20201214,7.5,7.7,7,7.7,23675
SHS,20201214,15.3,16.6,15.3,16.3,6221062
SIC,20201214,12.3,12.3,12.3,12.3,100
SJE,20201214,19,19,18.3,18.8,6244
SLS,20201214,65.5,66,65,65.8,19140
SMT,20201214,7.9,7.9,7.9,7.9,100
SPI,20201214,1.5,1.5,1.4,1.5,1140633
SRA,20201214,9.8,9.9,9.7,9.8,403700
STP,20201214,6.5,6.8,6.5,6.8,1690
SVN,20201214,1.7,1.8,1.7,1.7,12010
SZB,20201214,35.1,35.4,35,35.4,32870
TA9,20201214,9.7,9.8,9.6,9.8,23500
TAR,20201214,20.7,21,20.6,20.9,390998
TC6,20201214,4.6,4.7,4.6,4.7,33000
TDN,20201214,7.2,7.9,7.2,7.8,650364
TDT,20201214,12.8,13.3,12.8,12.9,120100
TFC,20201214,5.5,5.5,5.5,5.5,100
THB,20201214,9.8,9.8,9.8,9.8,900
THD,20201214,56.1,56.1,56.1,56.1,242100
THT,20201214,7.4,7.8,7.4,7.6,52950
TIG,20201214,6.2,6.2,6.1,6.2,896138
TJC,20201214,12.4,12.4,11.4,11.4,14200
TKC,20201214,6.6,6.6,6,6,6400
TKU,20201214,11.8,11.8,11.8,11.8,300
TMB,20201214,16.2,16.3,16.2,16.2,6200
TMX,20201214,16.1,16.1,16.1,16.1,100
TNG,20201214,15.1,15.9,15.1,15.8,3556114
TST,20201214,13.1,13.1,13.1,13.1,300
TTC,20201214,13,13.2,13,13.2,3900
TTH,20201214,1.7,1.8,1.7,1.8,95000
TTL,20201214,7.5,7.5,7.5,7.5,1000
TTT,20201214,35,35,34,34.2,1201
TTZ,20201214,3.7,3.8,3.4,3.5,15900
TV4,20201214,12.8,13.7,12.8,12.9,11900
TVC,20201214,12.5,12.7,12.1,12.3,1854914
TVD,20201214,6.5,7,6.5,7,255991
TXM,20201214,4.5,5.2,4.5,5.1,116675
UNI,20201214,8,8,7.4,7.4,32637
V12,20201214,9.1,9.1,9,9,500
V21,20201214,4.2,4.2,4,4.1,17000
VBC,20201214,18,18.5,18,18,3700
VC2,20201214,10.1,10.3,10.1,10.3,7200
VC3,20201214,16.8,16.9,16.7,16.9,172200
VC7,20201214,4.4,4.5,4.3,4.5,16650
VC9,20201214,4.5,4.5,4.4,4.5,6200
VCC,20201214,11.4,12.2,11.4,12.2,300
VCG,20201214,40.5,41.8,38.9,41.6,425545
VCS,20201214,80.7,82.3,80.6,82,407264
VE1,20201214,5.2,5.2,5.2,5.2,500
VGS,20201214,11.8,12.5,11.8,12.5,254738
VHE,20201214,3.7,3.8,3.6,3.7,16400
VHL,20201214,26.2,26.7,25.5,26.1,12900
VIF,20201214,18,18,18,18,200
VIG,20201214,1.1,1.2,1,1.2,1741578
VIT,20201214,14.6,14.6,14.4,14.4,2350
VIX,20201214,19.9,21.9,19.9,21.6,3987500
VKC,20201214,4.2,4.2,4.1,4.1,6700
VMC,20201214,10.8,10.8,10.4,10.4,17611
VNC,20201214,34.5,34.5,32,32,400
VNR,20201214,19.7,19.7,19,19,13800
VSA,20201214,15.2,15.6,15.2,15.6,200
VSM,20201214,14.8,14.8,14.8,14.8,100
VTC,20201214,8.7,9.2,8.7,9.2,411
VTH,20201214,9.5,9.5,9.5,9.5,100
VTJ,20201214,3.7,3.7,3.7,3.7,1000
VTV,20201214,5.2,5.2,5.1,5.1,2500
VXB,20201214,5.5,5.5,5.5,5.5,20100
WCS,20201214,217,217,212,214,920
WSS,20201214,2.6,2.7,2.5,2.7,52900
