<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAV,20201214,9.6,10.5,9.6,10.1,795005
ACM,20201214,0.8,0.9,0.7,0.8,669586
ADC,20201214,18,18,16.5,16.5,400
AMV,20201214,16.9,17.2,16.9,17.1,535440
API,20201214,9.5,9.5,9.5,9.5,300
APP,20201214,3.4,3.4,3.4,3.4,579
APS,20201214,3.6,3.8,3.4,3.7,191900
ART,20201214,2.6,2.8,2.6,2.7,2830170
BAX,20201214,69.3,69.4,68.5,69,9200
BBS,20201214,11,11,11,11,100
BCC,20201214,7.7,7.9,7.7,7.8,459055
BCF,20201214,41.2,42.1,41.2,42.1,1400
BII,20201214,1.5,1.6,1.4,1.6,381726
BKC,20201214,5.6,5.6,5.6,5.6,10
BNA,20201214,33.5,33.6,33.4,33.5,66634
BTS,20201214,4.5,4.5,4.5,4.5,134
BTW,20201214,32,32,32,32,100
BVS,20201214,13.4,14.3,13.4,14.1,1292405
C69,20201214,7.6,7.6,6.9,7.6,134542
C92,20201214,3.3,3.5,3.3,3.3,4700
CAN,20201214,25.6,25.6,25.6,25.6,20
CAP,20201214,37.4,37.8,37.4,37.6,8305
CEO,20201214,8.3,8.4,8.2,8.3,3213753
CET,20201214,2.7,2.8,2.6,2.8,475999
CIA,20201214,14.1,14.4,14,14.1,28108
CKV,20201214,11.9,12.9,11.9,12.9,1500
CLH,20201214,20.4,20.4,20.3,20.4,1400
CMC,20201214,5.3,5.3,5.3,5.3,1100
CMS,20201214,2.6,2.6,2.5,2.6,38520
CPC,20201214,16.3,16.3,16,16,2200
CSC,20201214,20.2,20.9,20.2,20.9,8051
CTP,20201214,3.4,3.4,3.3,3.3,18015
CTX,20201214,6.7,7,6.5,7,10100
CVN,20201214,10.5,10.8,10.4,10.6,211450
DAD,20201214,17.3,17.3,17.3,17.3,119
DC2,20201214,9.6,9.6,9.5,9.5,200
DDG,20201214,28.2,28.4,27.7,28.2,92250
DHT,20201214,55.5,55.6,54,54.7,15820
DIH,20201214,11,11,11,11,50
DNM,20201214,41,42.2,40.5,41.5,55055
DNP,20201214,17.7,17.9,17,17.4,6900
DP3,20201214,83.2,84.5,83.2,84.5,2800
DS3,20201214,4.1,4.1,3.9,4,104000
DST,20201214,2.6,2.7,2.5,2.6,518500
DTD,20201214,26.8,27.8,26.5,27.8,304100
DXP,20201214,16.2,16.4,15.9,16,308620
DZM,20201214,3.3,3.4,3.3,3.4,1810
EBS,20201214,8.3,8.3,8.2,8.2,300
EID,20201214,14,14.5,13.8,14.1,3300
FID,20201214,1,1.1,0.9,1,309400
GIC,20201214,19,19,19,19,800
GKM,20201214,16.3,16.5,16.3,16.4,167410
GLT,20201214,19,19,18.8,18.9,4000
GMA,20201214,34.3,34.4,33,33,3300
HAD,20201214,17.5,17.6,17.5,17.6,5215
HAT,20201214,23.4,24.5,23.4,24.5,4700
HBS,20201214,3,3.1,3,3.1,38200
