<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
A32,20201214,30.4,30.4,30.4,30.4,20
AAS,20201214,5.6,5.8,5.5,5.7,1007252
ABC,20201214,17.4,17.9,17.4,17.5,19651
ABI,20201214,35.5,36.9,35.2,36.9,38914
ACE,20201214,28.1,28.1,28.1,28.1,5000
ACV,20201214,77.8,78.9,77.3,78.5,383822
ADG,20201214,60.4,61.8,60.4,61.2,111639
AFX,20201214,12.5,12.5,11.8,12,331250
AGP,20201214,14.6,14.7,14.4,14.4,15000
AMS,20201214,9.1,9.1,9.1,9.1,5023
APF,20201214,37,37,32.5,37,1425
APL,20201214,11,11,11,11,1
ATB,20201214,0.7,0.7,0.7,0.7,12800
AVC,20201214,25,25,25,25,200
BAB,20201214,18,18,18,18,1900
BAL,20201214,7,7,7,7,4900
BBT,20201214,18,18,18,18,400
BDG,20201214,47,49.9,47,47.8,43200
BDT,20201214,19.5,19.7,19.4,19.7,12300
BHP,20201214,6.6,6.6,6.6,6.6,1200
BLI,20201214,7.9,8.2,7.6,8.2,3013
BMF,20201214,25,25,25,25,100
BOT,20201214,52.6,52.7,52.4,52.6,6100
BQB,20201214,5.4,5.4,5.4,5.4,100
BSA,20201214,12.9,13,12.9,12.9,3300
BSH,20201214,24.3,24.3,24.3,24.3,51
BSR,20201214,8.3,8.8,7,8.8,10783932
BTD,20201214,21.9,22.9,21.9,22.7,63200
BTN,20201214,2.6,2.6,2.6,2.6,13
BUD,20201214,6.6,6.6,6.6,6.6,500
BVB,20201214,13.2,13.5,13,13.3,1324558
BVG,20201214,1.8,1.8,1.7,1.8,25610
BWA,20201214,5.1,5.1,5.1,5.1,100
BWS,20201214,35.2,35.2,30,35.1,710
C22,20201214,12.7,12.7,12.7,12.7,100
C4G,20201214,10,10.2,9.9,10.2,669135
CAT,20201214,13.8,13.9,13.8,13.9,4800
CC1,20201214,22.1,25.3,22.1,24,2100
CCA,20201214,10.5,10.5,10.5,10.5,100
CCM,20201214,42.6,42.6,42.6,42.6,3
CCP,20201214,7.1,7.1,7.1,7.1,2500
CCR,20201214,15.6,15.6,15.6,15.6,100
CDO,20201214,0.7,0.8,0.7,0.8,8110
CDP,20201214,9.9,10.2,9.9,10.2,58200
CEN,20201214,6.9,6.9,6.8,6.9,28610
CHS,20201214,10,10,10,10,8
CI5,20201214,3.7,3.8,3.7,3.8,1400
CKD,20201214,20,20,20,20,1000
CLX,20201214,17.2,17.5,17,17.1,94621
CMN,20201214,52.5,53,52.5,53,1700
CMT,20201214,7.6,7.6,7.6,7.6,100
CNC,20201214,21.5,21.5,21.2,21.2,400
CSI,20201214,14.1,14.3,14.1,14.3,500
CT6,20201214,5.5,5.6,4.7,5.2,35048
CTR,20201214,60.7,62,50.5,61.8,951450
CTW,20201214,11.5,11.5,11.5,11.5,900
DAP,20201214,35,35,35,35,100
DAS,20201214,16,16,16,16,100
DBM,20201214,28.1,28.1,28.1,28.1,100
DC1,20201214,9.8,9.8,9.8,9.8,90
DCF,20201214,10.8,10.8,10.8,10.8,100
DCR,20201214,2.2,2.2,2.2,2.2,100
DDN,20201214,10.7,10.7,10.6,10.7,6100
DDV,20201214,7,7,7,7,1000
DNA,20201214,18.9,18.9,18.9,18.9,15
DNW,20201214,23.4,23.4,21,22.9,500
DOP,20201214,9.8,9.8,9.7,9.7,1000
DP1,20201214,15.5,15.5,15.5,15.5,300
DRI,20201214,7.5,7.8,7.5,7.5,416943
DSC,20201214,5.3,6.1,5.3,6.1,6100
DTK,20201214,13,14,13,14,5100
DTP,20201214,45,45,45,45,600
DVC,20201214,10,10,10,10,200100
DVN,20201214,16.9,17.2,16.6,17,545284
E29,20201214,6,6,6,6,200
EIC,20201214,7.3,7.3,7.3,7.3,500
EIN,20201214,4.6,4.6,4.6,4.6,19900
EMS,20201214,31,31,31,31,200
EVF,20201214,9,9.3,8.9,9.2,106531
FOC,20201214,106,106,106,106,200
FOX,20201214,57.5,58.2,57,58,15950
G36,20201214,11.3,12.8,11.2,11.4,1199579
GHC,20201214,33,34,33,33.1,38209
GND,20201214,25.9,25.9,25,25,300
GSM,20201214,8.6,8.6,8.6,8.6,5000
GVT,20201214,51.2,52,51.2,52,2558
HAC,20201214,5.4,5.4,5.4,5.4,5
HAN,20201214,17.1,17.1,17.1,17.1,4600
HC3,20201214,26,26.1,26,26.1,18000
HCB,20201214,14.7,14.7,14.7,14.7,100
HD2,20201214,5.7,6.3,5.6,5.9,14910
HD6,20201214,10.2,10.2,10,10.2,11000
HEC,20201214,54,54,50.2,50.2,200
HEM,20201214,13.6,13.6,12.8,12.8,700
HEP,20201214,9.1,9.1,9.1,9.1,400
HIG,20201214,10.2,10.7,10.2,10.7,200
HKC,20201214,36,36,36,36,100
HKP,20201214,4.5,4.5,4.5,4.5,200
HLB,20201214,167.9,167.9,125.1,125.1,1100
HNA,20201214,11.2,11.2,11.2,11.2,400
HND,20201214,18.4,18.7,18.4,18.6,128564
HNE,20201214,8.4,8.4,8.3,8.3,500
HNI,20201214,35.6,35.9,35.1,35.8,7300
HPD,20201214,18,18,17.5,17.5,30400
HPI,20201214,24,24,23.8,23.9,2300
HPP,20201214,35.5,35.5,35.5,35.5,202
HPW,20201214,14.7,14.7,14.7,14.7,200
HSI,20201214,0.9,0.9,0.9,0.9,2020
HTE,20201214,6.7,7,6.7,7,25700
HTG,20201214,18.5,18.5,18.5,18.5,3110
HTM,20201214,10.9,11.2,10.9,11,10410
HU4,20201214,8,8.2,8,8.2,4900
HU6,20201214,6,6,6,6,500
HWS,20201214,11.5,11.5,11.5,11.5,100
ICF,20201214,1.5,1.7,1.5,1.7,2000
ICN,20201214,65.2,65.2,65,65,3100
IFS,20201214,16.7,17.1,16.5,16.7,5600
ILA,20201214,2.9,2.9,2.9,2.9,27856
ILC,20201214,3.8,3.8,3.8,3.8,10
ILS,20201214,12.9,12.9,12.9,12.9,100
IPA,20201214,15.2,16.4,15.2,16.4,300
ISH,20201214,16.9,16.9,16.9,16.9,100
ITS,20201214,3.5,3.8,3.5,3.7,13200
KHA,20201214,23.3,23.4,22.5,23,8030
KHD,20201214,7.3,7.3,7.3,7.3,189
KIP,20201214,20,20,20,20,1
KLB,20201214,14,15.9,13.9,14,106835
KSH,20201214,0.8,0.9,0.8,0.8,201990
LIC,20201214,5.5,5.5,5.5,5.5,1000
LKW,20201214,27.9,31.6,27.9,27.9,4300
LLM,20201214,21.4,22.5,19.5,22.5,64600
LMC,20201214,10.5,10.6,10.5,10.6,66100
LTG,20201214,24.5,24.6,24.2,24.5,687318
M10,20201214,16.6,16.7,16.6,16.7,1908
MCH,20201214,93.7,94,93,93.3,22110
MFS,20201214,26.4,27,26.3,27,82475
MGG,20201214,40.9,40.9,39.6,39.6,200
MH3,20201214,67.5,68,67.2,67.5,18167
MHP,20201214,12.1,12.2,12.1,12.2,2400
MIG,20201214,12.7,14,12.7,13.6,285800
MLS,20201214,44.4,44.9,44,44.3,28230
MML,20201214,47.6,47.6,47.2,47.3,41110
MNB,20201214,26,26,26,26,410
MPC,20201214,29.5,30.2,29.2,30,230896
MQN,20201214,36.3,36.3,36,36,12100
MRF,20201214,25.3,25.3,25.3,25.3,70
MSR,20201214,17.4,17.6,17,17.6,1137591
MTA,20201214,7,7,6.7,6.8,42400
MTG,20201214,3,3.1,3,3.1,1600
MTH,20201214,19,19,19,19,100
MVN,20201214,10.1,10.1,10.1,10.1,1900
NAB,20201214,14.8,14.9,14.6,14.7,119127
NAS,20201214,28,28,28,28,500
NBE,20201214,7.4,7.4,7.4,7.4,1000
NCP,20201214,9.5,9.5,9.5,9.5,2600
NCS,20201214,18.1,18.5,18.1,18.2,1400
ND2,20201214,27.6,27.6,27.6,27.6,100
NDT,20201214,5.2,5.2,5.2,5.2,400
NED,20201214,8.6,8.6,8.6,8.6,2510
NHT,20201214,36.5,36.5,34.2,34.2,3700
NNG,20201214,8.7,10.5,8.7,10.5,500
NS3,20201214,18.5,18.5,18.4,18.5,1200
NSG,20201214,10.5,10.5,10.5,10.5,50
NSL,20201214,10.2,10.2,10.2,10.2,3700
NTC,20201214,238.5,248.9,238,243,64681
NTW,20201214,19,19,19,19,600
NUE,20201214,8,8.3,8,8.2,1700
OIL,20201214,9,9.2,8.9,9.1,1354172
ORS,20201214,11.6,12.3,11.4,12.3,669834
PAS,20201214,15.1,15.2,14.9,15,795830
PBC,20201214,14,14.5,14,14.5,1500
PCC,20201214,16,16.5,15.8,16.5,7825
PCM,20201214,10,11.5,10,11.5,2700
PCN,20201214,2.1,2.1,2.1,2.1,1000
PDT,20201214,10.2,10.2,10.2,10.2,100
PFL,20201214,1.9,2,1.9,1.9,292700
PGV,20201214,16,17.1,13.3,16,30641
PHS,20201214,9.7,9.7,9.7,9.7,300
PJS,20201214,10.5,10.8,10.5,10.8,28600
PMJ,20201214,18.4,18.4,18.4,18.4,200
PND,20201214,10.1,10.1,10.1,10.1,300
PNG,20201214,13.4,13.4,13.4,13.4,500
