<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
POS,20201214,14.8,15.1,14.7,14.7,52700
POV,20201214,5.5,5.5,5.5,5.5,1
PPH,20201214,17.1,18,17.1,18,390
PRT,20201214,11.7,11.7,10.2,11.6,2000
PSB,20201214,12.6,14.2,12.6,12.6,12681
PSL,20201214,24.8,25.2,24.3,25.2,4107
PSP,20201214,7.4,7.6,7.4,7.5,10600
PTV,20201214,4.3,4.3,4.3,4.3,600
PVM,20201214,18.3,18.3,17.5,18.1,70910
PVO,20201214,3.4,3.4,3.4,3.4,4000
PVP,20201214,9.9,10.1,9.8,10,60262
PVV,20201214,0.8,0.9,0.8,0.8,38400
PWA,20201214,12.7,12.7,11.5,12.5,146831
PXL,20201214,10,10,9.7,9.9,262334
QHW,20201214,14.5,14.5,14.5,14.5,100
QNC,20201214,5.1,5.1,4.8,4.8,6600
QNS,20201214,37.2,42.5,36.9,37.8,257370
QTP,20201214,10.7,10.8,10.7,10.7,31100
RTH,20201214,6.3,6.3,6.3,6.3,100
RTS,20201214,19.9,19.9,19.8,19.9,1400
SAC,20201214,9.6,9.6,9.1,9.1,3200
SAS,20201214,27.7,27.7,27.4,27.4,5868
SBD,20201214,10,10,10,10,18000
SBH,20201214,31,31,31,31,100
SBL,20201214,12.6,12.6,12.6,12.6,100
SBS,20201214,2,2.3,2,2.3,3067919
SCJ,20201214,2.5,2.5,2.4,2.5,2206
SCL,20201214,7.8,8.2,7.8,8.2,38200
SD3,20201214,3.1,3.2,3.1,3.2,4300
SDD,20201214,2.2,2.2,2.1,2.1,6700
SDP,20201214,1.3,1.3,1.2,1.2,9500
SEA,20201214,27.1,27.1,26.4,26.8,97060
SGB,20201214,12.8,12.9,12.8,12.9,31720
SGP,20201214,11,11.8,11,11.4,121846
SHC,20201214,7.5,7.5,7.5,7.5,80
SID,20201214,12.9,13.2,12.9,13,4606
SIP,20201214,134,145.2,126.3,145.2,10353047
SKH,20201214,19.7,20,19.6,19.9,3320
SKV,20201214,21,21.5,21,21.5,2000
SNZ,20201214,29.9,30.7,29.7,30.6,47692
SPD,20201214,11.5,11.5,8.8,8.8,1100
SRT,20201214,3.5,3.5,3.4,3.4,300
SSN,20201214,5,5.2,5,5.2,74332
STH,20201214,13.9,14.1,13.9,14,44300
SWC,20201214,15.6,16.1,15.6,16.1,22800
SZE,20201214,13.9,13.9,13.2,13.8,24809
TCI,20201214,6.1,6.1,6,6,400
TCW,20201214,25.5,25.9,25.5,25.8,16473
TDS,20201214,12.1,12.7,12.1,12.7,10010
THP,20201214,10.1,10.2,10.1,10.1,15900
THU,20201214,8,8,8,8,3300
TID,20201214,16,16.1,16,16.1,1300
TIS,20201214,9,9,9,9,3000
TL4,20201214,7.8,8,7.8,7.9,4400
TLI,20201214,9.5,9.5,9.5,9.5,1700
TLP,20201214,11.5,11.5,11.5,11.5,5000
TLT,20201214,9.5,9.7,9.5,9.7,1800
TOT,20201214,4.7,4.7,4.7,4.7,3
TR1,20201214,17.5,17.7,17.5,17.7,1700
TRS,20201214,49.4,49.4,49.4,49.4,100
TTN,20201214,9.2,9.4,9.2,9.4,63670
TTP,20201214,40.8,40.8,40.8,40.8,100
TVA,20201214,17,17,17,17,900
TVN,20201214,7.9,8,7.7,7.8,232340
TVP,20201214,30.2,30.2,30.2,30.2,100
UDJ,20201214,9.4,9.8,9.1,9.6,88504
VAV,20201214,42.1,42.1,42.1,42.1,100
VBB,20201214,11.3,11.6,11.3,11.6,9000
VCA,20201214,10.7,11.1,10.7,11,35904
VCP,20201214,50.5,51.2,50.2,50.8,67142
VCR,20201214,19,19.3,18.7,19.2,252960
VCW,20201214,36,36,36,36,100
VCX,20201214,5.7,5.7,5.7,5.7,1500
VDN,20201214,11.7,11.7,11.7,11.7,10
VE9,20201214,1.3,1.3,1.2,1.2,1200
VEA,20201214,50.4,51.2,50.3,50.9,149448
VEC,20201214,11.5,12,10.8,11.9,112500
VEF,20201214,87,98,84,84.6,9605
VFS,20201214,7.3,7.3,6.4,6.7,33920
VGG,20201214,48.5,49.5,48.5,49.5,74260
VGI,20201214,33.5,34.2,33.3,33.5,636103
VGT,20201214,9.6,9.8,9.6,9.7,407175
VGV,20201214,9.1,10,9.1,10,9600
VHG,20201214,0.7,0.8,0.7,0.8,347022
VIM,20201214,22,22,22,22,209
VLB,20201214,34,34.5,34,34.5,900
VLC,20201214,38.7,38.7,35.8,36.9,197874
VLG,20201214,4.1,4.1,4.1,4.1,550
VMG,20201214,4,4,4,4,1400
VNA,20201214,4,4,3.6,3.6,276700
VNB,20201214,11.6,11.6,11.6,11.6,100
VNH,20201214,0.9,0.9,0.9,0.9,58900
VNP,20201214,8,8.1,7.8,8.1,117920
VOC,20201214,21.7,22.3,21.7,22.1,573921
VRG,20201214,25,25.5,24,25.5,47910
VSN,20201214,26,26.7,26,26.2,5767
VTD,20201214,10.2,10.4,10.2,10.3,39310
VTE,20201214,4.3,4.3,4.3,4.3,2600
VTK,20201214,30.5,31,30.3,30.5,7180
VTP,20201214,110,112,109.5,110.3,173180
VTR,20201214,37,38,37,37.9,74929
VTX,20201214,14.5,14.5,14.5,14.5,70
VWS,20201214,10.7,10.7,10.7,10.7,300
VXP,20201214,30.3,30.3,30.3,30.3,100
VXT,20201214,29.9,29.9,29.9,29.9,1100
WSB,20201214,44,45,44,45,16900
WTC,20201214,22.1,22.1,22.1,22.1,50
XLV,20201214,9.4,11,9.4,11,211
XMC,20201214,10.9,10.9,9.9,10.9,1300
XPH,20201214,6.9,6.9,6.1,6.1,14000
