<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TYA,20201215,14.25,14.5,14.2,14.45,106070
UDC,20201215,5.15,5.19,5.05,5.18,18400
UIC,20201215,47.5,48,46,47.5,1900
VAF,20201215,13.6,13.6,11.9,11.9,60
VCB,20201215,99,99.8,96.5,97.8,1433260
VCF,20201215,247.1,247.1,225,225.2,170
VCI,20201215,45.5,46,44.5,44.7,1256310
VDP,20201215,32.35,32.4,31.6,32.2,7560
VDS,20201215,10.3,10.3,9.7,9.86,40390
VFG,20201215,47.5,48,47.5,47.5,3700
TLD,20201215,5.3,5.34,5.27,5.3,357960
TLG,20201215,39.25,39.55,39.05,39.25,92670
TLH,20201215,7.09,7.09,7.09,7.09,485290
TMP,20201215,42,42,40,41,1450
TMS,20201215,38,38,37,37.8,104850
TMT,20201215,5.85,5.85,5.47,5.8,5280
TN1,20201215,71,76,71,76,3820
TNA,20201215,13.2,13.4,13,13.3,514940
TNC,20201215,32.5,32.9,30.05,31,1310
TNI,20201215,2.92,3.09,2.9,2.97,1101590
TNT,20201215,1.72,1.77,1.67,1.68,194940
TPB,20201215,22.45,22.45,22.2,22.2,1077470
TPC,20201215,8.4,8.99,8.4,8.99,210
TRA,20201215,68,68.4,67.1,68.4,3600
TRC,20201215,35.2,36.8,35.2,36.8,120
TS4,20201215,3.41,3.6,3.4,3.58,12070
TSC,20201215,3.16,3.2,3,3.14,1478950
TTA,20201215,17.25,17.4,17,17.1,1137180
TTB,20201215,4.35,4.62,4.31,4.5,1784220
TTE,20201215,12.1,12.1,12.1,12.1,10
TCR,20201215,3.46,3.72,3.46,3.72,90
TCT,20201215,28.5,29,28.3,29,36680
TDC,20201215,9.72,10.3,9.72,10.3,1465260
TDG,20201215,2.35,2.43,2.35,2.37,228880
TDH,20201215,9,9.19,8.86,8.9,4541770
TDM,20201215,27.15,27.3,26.85,27,591360
TDP,20201215,38.9,38.9,35.65,37.5,530940
TEG,20201215,4.65,4.65,4.36,4.6,2840
TGG,20201215,1.02,1.05,1.02,1.04,164160
THG,20201215,55,55.4,55,55.1,28340
THI,20201215,27.2,28,27,27.1,210
TIP,20201215,34.35,36.2,34.35,34.9,146650
TIX,20201215,27.55,27.55,27.55,27.55,10
STB,20201215,15.85,16.05,15.8,15.95,17651510
STG,20201215,14.5,14.5,14.3,14.5,14340
STK,20201215,20.65,20.65,20.3,20.5,94940
SVC,20201215,66.3,70.5,66.3,70.5,40
SVI,20201215,81.6,84,81.6,84,1460
SZC,20201215,29.6,31.7,29.4,31.3,2952380
SZL,20201215,53.5,56.5,53.5,55.3,111480
TAC,20201215,47.6,49.9,47.6,47.9,160850
TBC,20201215,24.65,26.1,24.6,25.35,256270
TCB,20201215,26.1,26.35,25.95,26.15,13700860
TCD,20201215,10.5,10.5,10.2,10.5,1720
TCH,20201215,19.3,19.35,19.1,19.1,4687670
TCL,20201215,28.35,28.5,28,28.2,218890
TCM,20201215,46.7,48.5,46.5,48.5,960510
TCO,20201215,10.5,10.5,10.5,10.5,210
SGR,20201215,20,20.2,20,20,22800
SGT,20201215,5.5,5.65,5.5,5.55,7230
SHA,20201215,4.17,4.22,4.17,4.2,51900
SHI,20201215,8.9,8.97,8.86,8.94,990380
SHP,20201215,23,23.3,22,23.3,4630
SII,20201215,18.7,18.7,17.4,18,3150
SJD,20201215,16.85,16.9,16.8,16.8,85330
SJF,20201215,2.15,2.24,2.13,2.16,1619640
SJS,20201215,26.5,26.5,25.9,26,154830
SKG,20201215,11.2,11.2,10.85,10.95,313140
SMA,20201215,8.7,8.7,8.7,8.7,990
SMB,20201215,42.8,43,42.3,43,49670
SMC,20201215,15.3,15.8,15.3,15.5,240280
SPM,20201215,13,13.15,13,13.15,110
SRC,20201215,19.55,19.55,19,19,87440
SSI,20201215,24.8,26.1,24.8,25.5,15342550
ST8,20201215,10.9,11.35,10.9,11.05,110
PXI,20201215,3.11,3.27,3.11,3.15,8180
PXS,20201215,7.19,7.19,7.01,7.12,198680
PXT,20201215,1.41,1.41,1.36,1.37,20040
QBS,20201215,2.27,2.34,2.26,2.31,287560
QCG,20201215,7.3,7.3,7.13,7.17,1102950
RAL,20201215,130.5,133,130.5,133,5720
RDP,20201215,7.8,8,7.8,7.82,74290
REE,20201215,47.75,48,47.15,47.5,443820
RIC,20201215,4.25,4.4,4.13,4.4,2850
ROS,20201215,2.19,2.22,2.18,2.18,6711120
S4A,20201215,27.75,27.75,27.75,27.75,10
SAB,20201215,204,204.5,198.6,199,116620
SAM,20201215,9.9,9.9,9.86,9.88,39470
SAV,20201215,17.3,17.65,17.2,17.4,26360
SBA,20201215,14.9,15,14.85,14.9,56210
SBT,20201215,19.8,19.9,19.55,19.6,3241630
SBV,20201215,12.15,13,12.15,12.45,71690
SC5,20201215,18.9,19.5,18.9,19.5,3250
SCD,20201215,24.1,24.1,24,24.1,3450
SCR,20201215,7.19,7.65,7.18,7.43,9278340
SCS,20201215,124.9,125.1,124.8,125,30240
SFC,20201215,23,23,23,23,1120
SFG,20201215,7.22,7.45,7.22,7.24,23930
SFI,20201215,30.5,31.5,30.5,30.7,10670
SGN,20201215,70.7,70.7,70.1,70.1,26230
PET,20201215,15.7,16.9,15.5,16.6,7664280
PGC,20201215,21.55,21.8,21.5,21.6,9820
PGD,20201215,29.2,29.9,29.2,29.5,1600
PGI,20201215,20.75,20.8,20.75,20.8,55130
PHC,20201215,10.35,10.4,10.1,10.25,327910
PHR,20201215,62.4,64.5,61.9,63.9,1956140
PIT,20201215,5,5,4.7,4.7,610
PJT,20201215,10.45,10.55,10.4,10.55,6230
PLP,20201215,7.75,7.98,7.75,7.97,997850
PLX,20201215,54,55,53.5,53.9,1249090
PME,20201215,79.5,79.5,76.5,76.5,20670
PMG,20201215,13,13.15,13,13.15,1410
PNC,20201215,9,9,9,9,10
PNJ,20201215,77.9,79,76.2,77.1,867800
POM,20201215,11.8,12.3,11.6,12.3,388920
POW,20201215,11.8,11.9,11.6,11.65,12485670
PPC,20201215,24.4,24.5,24.1,24.2,353060
PSH,20201215,17.1,17.3,17,17.2,149210
PTB,20201215,60,60.2,59.6,59.7,163620
PTC,20201215,9,9.04,9,9.04,30
PTL,20201215,5.7,5.7,5.31,5.69,14320
PVD,20201215,13.7,13.85,13.55,13.65,6986460
PVT,20201215,13.45,13.55,13.3,13.4,2828040
NLG,20201215,29,29.3,28.95,29.2,878540
NNC,20201215,39.5,39.75,38.9,39.3,94830
NSC,20201215,80.1,80.8,79.1,79.5,4480
NT2,20201215,23.55,24.1,23.4,23.7,989450
NTL,20201215,22.4,23.1,22.4,22.7,485020
NVL,20201215,64.4,67.4,64.4,65.5,3284160
NVT,20201215,5.7,6,5.65,5.71,33390
OGC,20201215,7.38,7.38,7.19,7.29,512940
PAC,20201215,27.35,27.8,27.05,27.6,81250
PAN,20201215,23.4,23.5,23,23.2,2321680
PC1,20201215,21.65,22.7,21.65,22.5,993440
PDN,20201215,79.8,79.8,79.8,79.8,20
PDR,20201215,44.7,44.85,44,44.4,3076690
MHC,20201215,5.66,5.72,5.61,5.7,59420
MSH,20201215,41.8,41.8,40.5,41,120420
MSN,20201215,84.5,84.8,83.9,84.5,935010
MWG,20201215,115.2,117.3,115,115.3,1455570
NAF,20201215,20.8,21.4,20.45,20.5,390950
NAV,20201215,19.05,20.9,19.05,20.9,280
NBB,20201215,22,22.1,21.8,22,5650
NCT,20201215,71,71.3,70.6,71,22890
NHH,20201215,49,49,45.95,47.5,202200
NKG,20201215,14.4,14.6,14.15,14.4,5857300
LBM,20201215,33,33.45,33,33.45,1790
LCG,20201215,12.75,12.75,12.45,12.45,3269630
LCM,20201215,0.71,0.72,0.7,0.71,17960
LDG,20201215,6.9,7.4,6.86,7.4,24606180
LEC,20201215,13.9,13.9,12.8,13.8,500
LGC,20201215,67.1,67.1,67.1,67.1,1000
LGL,20201215,4.97,5,4.87,4.89,20840
LIX,20201215,53.9,54.4,53.8,53.8,94470
LM8,20201215,11,11.4,11,11.25,2720
LPB,20201215,11.8,11.85,11.7,11.7,7906930
MBB,20201215,21.85,21.85,21.4,21.5,13083510
MCG,20201215,1.84,1.84,1.79,1.81,43910
MDG,20201215,10.4,10.85,10.4,10.4,2070
HU3,20201215,7.31,7.31,7.12,7.12,50
HUB,20201215,20,20.1,19.9,20.05,22900
HVH,20201215,9.1,9.1,8.9,8.96,220050
HVN,20201215,27.5,27.9,27.4,27.7,1228820
HVX,20201215,3.26,3.3,3.1,3.1,1430
IBC,20201215,21.9,22.35,21.9,22.3,203240
ICT,20201215,23.7,24,23.7,23.9,160960
IDI,20201215,6.46,6.57,6.31,6.4,2562040
IJC,20201215,16.25,16.25,16.25,16.25,715910
ILB,20201215,26,27.4,26,27.4,208050
IMP,20201215,56.9,57.1,56.2,56.2,60810
ITA,20201215,5.43,5.6,5.39,5.49,19505550
ITC,20201215,15,15.6,15,15.6,7750
ITD,20201215,9.3,9.35,9.2,9.2,282600
JVC,20201215,4.7,4.85,4.62,4.69,635330
KBC,20201215,16,16.65,15.95,16.45,4945370
KDC,20201215,38.6,38.65,38,38.4,551790
KDH,20201215,28.15,28.4,27.55,27.7,3071580
KHP,20201215,6.74,7.21,6.74,7.1,509050
KMR,20201215,2.68,2.77,2.61,2.75,182310
KOS,20201215,30.2,30.8,30.1,30.4,174270
KPF,20201215,16.5,17.65,15.35,17.65,37770
KSB,20201215,30,30.5,29.8,29.9,1929020
L10,20201215,20,20,18.6,18.6,30
LAF,20201215,9.55,9.55,9.5,9.5,2610
HPG,20201215,39.05,39.15,38.5,38.6,19581910
HPX,20201215,27.6,27.7,27.05,27.7,459560
HQC,20201215,1.66,1.73,1.66,1.71,9355250
HRC,20201215,40.05,40.05,40.05,40.05,10
HSG,20201215,21,21.2,20.7,20.9,13161310
HSL,20201215,7.1,7.15,6.3,7,530490
HT1,20201215,16.8,16.9,16.6,16.7,909760
HTI,20201215,14.7,14.75,14.55,14.65,149880
HTL,20201215,16.3,16.3,16.3,16.3,1100
HTN,20201215,43.45,43.7,43,43.6,141120
HTV,20201215,12.6,12.7,12.6,12.7,13770
GIL,20201215,45,46.4,44.7,46.2,205800
GMC,20201215,17.95,18.1,17.95,18.1,31770
GMD,20201215,31.5,33.5,31.5,33.2,7050050
GSP,20201215,11,11.15,11,11.15,1670
GTA,20201215,12.4,12.9,12.3,12.4,5870
GTN,20201215,26.75,28,26.7,28,6555140
GVR,20201215,22.5,23.75,22.15,23.25,4905500
HAG,20201215,4.82,5.1,4.76,4.95,30066630
HAH,20201215,17.1,17.2,16.9,17.1,960920
HAI,20201215,2.7,2.75,2.66,2.68,2326440
HAP,20201215,5.86,6,5.82,5.82,556080
HAR,20201215,4.8,4.8,4.65,4.65,1196800
HAS,20201215,8.2,8.55,8.2,8.55,200
HAX,20201215,18.3,18.3,18.05,18.1,366510
HBC,20201215,14.15,14.65,14.1,14.25,8187660
HCD,20201215,2.49,2.51,2.47,2.48,223480
HCM,20201215,28.6,29.15,28.2,28.55,4877910
HDB,20201215,22.35,22.4,22,22.25,4717840
HDC,20201215,31.9,32.3,31.65,31.8,651500
HDG,20201215,33.5,34.5,33.05,34.45,2240950
HHS,20201215,4.9,4.97,4.82,4.9,3937100
HID,20201215,2.55,2.57,2.54,2.57,66500
HII,20201215,15.4,15.6,14.7,15,239490
HMC,20201215,14.9,14.9,14.8,14.9,5500
HNG,20201215,14.4,14.5,14.15,14.25,5863690
HOT,20201215,38.1,38.1,38.1,38.1,80
DC4,20201215,10.5,10.9,10.5,10.9,13420
DCL,20201215,22.5,22.5,21.45,21.9,181690
DCM,20201215,12.4,12.8,12.3,12.5,3461650
DGC,20201215,48.05,48.9,47.75,48.05,574200
DGW,20201215,79,80.2,77.9,79,259990
DHA,20201215,44,44.4,43.7,43.7,23970
DHC,20201215,60.8,60.9,60.5,60.7,236100
DHG,20201215,105.8,105.8,104.5,105.5,6470
DHM,20201215,9.5,9.61,9.5,9.56,345650
DIG,20201215,26,26.2,25,25.35,4494850
DLG,20201215,1.36,1.45,1.35,1.4,10665310
DMC,20201215,56.8,56.8,56,56.6,67280
DPG,20201215,30,30,29.3,29.3,722370
DPM,20201215,17.8,18.5,17.7,18,6257370
DPR,20201215,45.45,45.5,45.4,45.5,53740
DQC,20201215,15.95,16.1,15.6,15.7,104210
DRC,20201215,22.55,22.55,21.95,22.2,1887860
DRH,20201215,7.98,8.3,7.83,7.9,3354410
DRL,20201215,54.5,54.5,54.5,54.5,2070
DSN,20201215,47,47,46.85,46.9,6810
DTA,20201215,4.85,5.17,4.85,5.13,35940
DTL,20201215,6.83,6.83,6.83,6.83,550
DVP,20201215,45.8,45.8,45.4,45.4,75540
DXG,20201215,14.9,15.5,14.8,14.9,10177630
DXV,20201215,3.4,3.46,3.4,3.46,110
EIB,20201215,17.1,17.2,17.05,17.15,275260
ELC,20201215,7.5,7.52,7.4,7.4,451070
EVE,20201215,13.45,13.5,13.2,13.4,37230
EVG,20201215,5.85,5.95,5.85,5.86,1041210
FCM,20201215,5.82,5.97,5.8,5.97,4950
FCN,20201215,12.1,12.1,11.95,11.95,1650690
FDC,20201215,14.1,14.3,13.55,14.2,1140
FIR,20201215,25.5,25.5,25.3,25.3,75910
FIT,20201215,11,11.4,10.95,11.2,3324270
FLC,20201215,4.26,4.45,4.23,4.32,15710750
FMC,20201215,36.1,37.3,35.8,36.55,988350
FPT,20201215,57.5,57.6,56.6,56.7,2666900
FRT,20201215,27.2,28.05,26.35,26.8,4190310
FTM,20201215,1.28,1.28,1.25,1.27,89720
FTS,20201215,14.1,14.2,13.75,13.85,879260
GAB,20201215,193.8,195.3,193.2,193.2,2730
GAS,20201215,86.5,86.9,85.2,85.4,1095430
GDT,20201215,38.3,38.8,38.3,38.4,16780
GEG,20201215,17.8,17.8,17.5,17.55,769630
GEX,20201215,20.75,21.25,20.55,20.9,9207440
ACL,20201215,12.95,12.95,12.7,12.75,86050
ADS,20201215,11.25,11.25,11.15,11.25,63190
AGG,20201215,29.5,29.8,28.7,29.8,2405070
AGM,20201215,12.15,12.5,12.1,12.45,30880
AGR,20201215,8.4,8.66,8.2,8.4,4593680
AMD,20201215,2.67,2.71,2.66,2.68,1688240
ANV,20201215,21.95,22.8,21.7,22.2,727040
APC,20201215,22.1,22.45,22.05,22.15,63510
APG,20201215,10,10.2,9.93,10.15,1310280
APH,20201215,89.7,89.7,88.6,88.8,527030
ASG,20201215,37.2,38.3,37.2,37.3,13480
ASM,20201215,13.5,14.2,13.5,13.95,4050460
ASP,20201215,6,6.2,5.95,6.16,83550
AST,20201215,56,57,56,56.3,111940
BBC,20201215,62.5,63,62.5,63,2030
BCE,20201215,8.51,9.1,8.46,9.1,763120
BCG,20201215,9.1,9.6,9.1,9.39,1428830
BCM,20201215,39.9,42.8,39.9,41.15,141460
BFC,20201215,16.2,16.8,16,16.35,891280
BHN,20201215,75.9,76,75,76,3550
BIC,20201215,20.75,20.75,20.5,20.5,83140
BID,20201215,46.15,47,45.85,46.1,3422380
BMC,20201215,11.3,12.05,11.2,12.05,214630
BMI,20201215,30.3,30.7,30.2,30.3,367490
BMP,20201215,65.8,65.8,64.6,64.7,131250
BRC,20201215,11.1,11.2,11.1,11.2,270
BSI,20201215,11.5,11.5,11.1,11.2,734950
BTP,20201215,14,14.1,14,14.05,6850
BTT,20201215,36.6,40,36.6,36.8,1470
BVH,20201215,58.6,59.4,58,58.2,1522230
BWE,20201215,31.1,32.2,30.85,31.7,896280
C32,20201215,25.25,25.25,24.7,24.7,379160
C47,20201215,9.63,9.68,9.5,9.6,228240
CAV,20201215,70.5,70.5,70.4,70.4,110
CCI,20201215,15.2,15.2,14,14,2090
CCL,20201215,7.75,7.78,7.61,7.75,217890
CDC,20201215,24,24.8,23.2,24,222890
CEE,20201215,18,18.85,18,18.15,139460
CHP,20201215,19.6,19.7,19.5,19.7,23490
CIG,20201215,1.88,1.98,1.88,1.96,12840
CII,20201215,18.75,19.4,18.65,19.25,4930800
CKG,20201215,13.15,13.3,12.9,13.05,1347370
CLC,20201215,31.3,31.3,30.8,30.8,20270
CLG,20201215,1.01,1.01,0.92,0.97,48660
CLL,20201215,30,30.95,30,30.9,1860
CLW,20201215,25,25,25,25,30
CMG,20201215,32.7,32.75,32.45,32.5,73820
CMV,20201215,15.6,15.6,15.6,15.6,10
CMX,20201215,15.75,16.8,15.65,16.55,1588980
CNG,20201215,19.55,19.55,19.45,19.5,21390
COM,20201215,46.5,46.5,46.5,46.5,490
CRC,20201215,17.15,17.5,17.15,17.15,390200
CRE,20201215,32.5,33,32.35,32.8,1518140
CSM,20201215,16.3,17.25,16.3,17,176570
CSV,20201215,28.15,28.95,28.1,28.5,364630
CTD,20201215,70.3,71.5,69.6,71.2,1410530
CTF,20201215,21.5,21.5,21,21.45,66350
CTG,20201215,35.4,35.4,34.65,35,10988240
CTI,20201215,14.2,14.6,14,14.2,737440
CTS,20201215,11.45,11.5,10.8,11,1416050
CVT,20201215,41.7,43,41.05,41.5,69920
D2D,20201215,56,58.5,55.8,57.9,642090
DAG,20201215,6.76,6.77,6.61,6.7,695750
DAH,20201215,3.76,3.76,3.72,3.76,615360
DAT,20201215,33,33,30,31.8,1970
DBC,20201215,47.05,48.85,46.8,48.6,3670900
DBD,20201215,44.25,45.3,44.2,44.8,84220
DBT,20201215,13.6,13.6,13.4,13.4,5510
AAA,20201215,13,13.45,12.95,13.3,3621140
AAM,20201215,10.85,10.85,10.85,10.85,70
ABS,20201215,17.3,18.3,16.8,18,386520
ABT,20201215,31.5,32,30.1,30.55,760
ACB,20201215,28.2,28.25,27.9,28,7305490
ACC,20201215,14.1,14.5,14.1,14.35,113700
VNAll-INDEX,20201215,981.01,983.45,970.39,973.17,528184490
CFPT2008,20201215,2.23,2.23,2.07,2.09,374830
CFPT2009,20201215,3.5,3.55,3.44,3.44,54290
CFPT2010,20201215,8.41,8.41,7.85,7.93,146820
CFPT2011,20201215,2.29,2.38,2.23,2.35,1077130
CFPT2012,20201215,2.05,2.09,1.96,1.96,532670
CFPT2013,20201215,5.05,5.07,5.05,5.05,2200
CFPT2014,20201215,2.52,3.62,2.52,3.24,2110
CFPT2015,20201215,2.07,2.07,1.98,2,212490
CFPT2016,20201215,2.52,2.52,2.4,2.43,372870
CHDB2007,20201215,2.25,2.25,2.08,2.13,223070
CHDB2008,20201215,1.55,1.56,1.46,1.49,611410
CHPG2010,20201215,4.1,4.1,3.81,3.81,1238560
CHPG2012,20201215,21.2,21.2,20.95,20.95,12030
CHPG2014,20201215,21.86,21.86,21.65,21.65,14190
CHPG2015,20201215,21.8,21.86,21.4,21.4,48540
CHPG2016,20201215,10.03,10.25,9.9,9.9,10030
CHPG2017,20201215,2.7,2.73,2.63,2.69,1337500
CHPG2018,20201215,2.95,2.95,2.73,2.9,703750
CHPG2019,20201215,7.4,7.45,7.25,7.25,44640
CHPG2020,20201215,14.1,14.76,14.1,14.15,142370
CHPG2021,20201215,7.35,7.43,7.11,7.2,99210
CHPG2022,20201215,6.55,6.55,6.4,6.4,123430
CHPG2023,20201215,10.4,10.65,10,10.3,172640
CHPG2024,20201215,6.4,6.4,6.15,6.17,5920
CHPG2025,20201215,6.9,7.5,6.7,6.7,23860
CKDH2001,20201215,1.67,1.67,1.5,1.54,226350
CKDH2002,20201215,1.63,1.88,1.63,1.8,50750
CKDH2003,20201215,1.36,1.36,1.26,1.28,928210
CMBB2007,20201215,4,4.06,3.9,3.97,46810
CMBB2008,20201215,5.91,5.91,5.5,5.5,58720
CMBB2009,20201215,3.34,3.34,3.2,3.26,246270
CMBB2010,20201215,6.89,6.89,6.6,6.7,69950
CMBB2011,20201215,6.2,6.22,5.94,5.95,73880
CMSN2006,20201215,5.77,5.8,5.72,5.72,25210
CMSN2007,20201215,2.9,2.99,2.9,2.95,138120
CMSN2009,20201215,2.62,2.64,2.56,2.59,359710
CMSN2010,20201215,15.43,15.53,15.28,15.48,34500
CMSN2011,20201215,6.79,6.87,6.78,6.79,80810
CMSN2012,20201215,13.85,13.85,13.85,13.85,100
CMSN2013,20201215,1.36,1.45,1.33,1.38,952500
CMSN2014,20201215,1.04,1.04,0.94,1.01,165740
CMWG2010,20201215,3.56,3.76,3.51,3.54,167770
CMWG2011,20201215,6.1,6.2,6.1,6.2,3000
CMWG2012,20201215,7.52,8.06,7.52,7.69,30250
CMWG2013,20201215,15.09,15.56,15.05,15.07,9000
CMWG2014,20201215,3.3,3.5,3.3,3.45,10120
CMWG2015,20201215,2.35,2.5,2.34,2.35,410800
CMWG2016,20201215,2.06,2.18,2.04,2.06,778750
CNVL2002,20201215,1.95,2.49,1.93,2.26,120610
CNVL2003,20201215,0.96,1.2,0.95,1.13,638630
CPNJ2006,20201215,1.99,2.09,1.84,1.92,76880
CPNJ2008,20201215,6,6.02,5.79,5.79,2430
CPNJ2009,20201215,2.83,3,2.83,2.93,1754440
CPNJ2010,20201215,3.03,3.17,3,3,34080
CREE2005,20201215,3.8,3.83,3.8,3.8,14610
CREE2006,20201215,2.26,2.3,2.15,2.15,115290
CSBT2007,20201215,2.8,2.8,2.62,2.7,300390
CSTB2006,20201215,1.9,2,1.84,1.87,224670
CSTB2007,20201215,2.75,2.82,2.69,2.81,357260
CSTB2009,20201215,4.85,5,4.81,5,7930
CSTB2010,20201215,2.42,2.48,2.38,2.42,447200
CSTB2011,20201215,2.57,2.68,2.54,2.57,251440
CSTB2012,20201215,3.48,3.6,3.43,3.54,573840
CSTB2013,20201215,4.43,4.43,4.2,4.21,175300
CSTB2014,20201215,4.75,4.8,4.67,4.75,113690
CSTB2015,20201215,1.48,1.53,1.42,1.49,411410
CSTB2016,20201215,1.79,1.83,1.72,1.78,46100
CTCB2007,20201215,3.16,3.2,3.07,3.1,401330
CTCB2008,20201215,3,3.15,3,3,3370
CTCB2009,20201215,5.35,5.44,5.19,5.31,251170
CTCB2010,20201215,2.81,2.97,2.81,2.91,387390
CTCB2011,20201215,4.52,4.7,4.51,4.55,57280
CTCH2001,20201215,1.06,1.07,1.03,1.05,469020
CTCH2002,20201215,0.78,0.78,0.74,0.77,155360
CTCH2003,20201215,1.22,1.22,1.14,1.16,676730
CVHM2005,20201215,0.99,1.1,0.95,0.95,665550
CVHM2006,20201215,0.65,0.74,0.64,0.66,904670
CVHM2007,20201215,2.68,2.94,2.57,2.63,1308790
CVHM2008,20201215,1.49,1.49,1.28,1.32,692320
CVHM2009,20201215,1.88,2.05,1.83,1.92,1153530
CVHM2010,20201215,1.72,1.83,1.68,1.68,1062440
CVIC2004,20201215,0.93,0.95,0.93,0.94,251230
CVIC2005,20201215,1.75,1.83,1.7,1.73,336490
CVIC2006,20201215,2.48,2.57,2.46,2.49,978950
CVIC2007,20201215,1.03,1.03,0.68,0.7,385160
CVJC2004,20201215,1.1,1.21,1.1,1.19,1039580
CVJC2005,20201215,2.82,3.05,2.76,2.76,1136160
CVJC2006,20201215,1.41,1.58,1.38,1.5,2043740
CVNM2007,20201215,1.32,1.32,1.17,1.17,120860
CVNM2008,20201215,2.51,2.51,2.27,2.46,450570
CVNM2010,20201215,2.91,2.96,2.75,2.87,277340
CVNM2011,20201215,1.07,1.08,1,1.05,688310
CVNM2012,20201215,5.91,6,5.4,5.6,166640
CVNM2013,20201215,1.77,1.8,1.7,1.71,640340
CVNM2014,20201215,0.85,0.85,0.8,0.82,8330
CVNM2015,20201215,1.71,1.83,1.71,1.78,127940
CVNM2016,20201215,0.73,0.73,0.67,0.72,785110
CVPB2008,20201215,3.4,3.49,3.19,3.2,224760
CVPB2010,20201215,6.21,6.21,6.21,6.21,1170
CVPB2011,20201215,3.23,3.27,3,3.01,600130
CVPB2012,20201215,2.5,3.46,2.5,3.4,352440
CVPB2013,20201215,4.5,4.5,4.29,4.29,5200
CVPB2014,20201215,3.9,3.9,2.9,2.9,28810
CVRE2007,20201215,0.5,0.59,0.5,0.52,776260
CVRE2008,20201215,1.13,1.31,1.13,1.27,421330
CVRE2009,20201215,0.84,1,0.84,0.94,268450
CVRE2010,20201215,0.72,0.83,0.72,0.78,345780
CVRE2011,20201215,1.05,1.15,1.05,1.11,353980
CVRE2012,20201215,1.44,1.55,1.44,1.45,822450
E1VFVN30,20201215,17.02,17.2,16.92,17,715550
FUEMAV30,20201215,11.95,12.04,11.93,12.04,373700
FUESSV30,20201215,12.59,12.59,12.5,12.5,3440
FUESSV50,20201215,15,15,14.71,15,68380
FUESSVFL,20201215,12.45,12.5,12.45,12.49,3550
FUEVFVND,20201215,16.19,16.19,15.86,16,860900
FUEVN100,20201215,13.2,13.24,13.13,13.13,6270
LHG,20201215,33.2,35.3,32.9,34.45,542320
LSS,20201215,8,8,7.85,7.9,186730
MCP,20201215,26.45,28.4,26.45,28.4,1240
SRF,20201215,13.6,13.6,13,13.6,630
