<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FUCTVGF1,20201215,12.95,12.95,12.95,12.95,10
FUCVREIT,20201215,6,6.5,5.71,5.71,390
VOS,20201215,2.1,2.15,2.05,2.06,1836000
VPB,20201215,28.9,28.95,28.05,28.1,6064100
VPD,20201215,14.5,14.5,14,14,7720
VPG,20201215,15.5,15.6,15.35,15.55,744840
VPH,20201215,4.39,4.5,4.35,4.38,108970
VPI,20201215,33.15,33.2,33,33.15,880760
VPS,20201215,13.05,13.1,12.8,13.05,11010
VRC,20201215,7.39,7.39,7.25,7.3,242760
VRE,20201215,30.2,30.85,29.8,30.1,13985630
VSC,20201215,53.2,53.9,53,53.2,132410
VSH,20201215,18.65,19,18.65,18.65,79110
VSI,20201215,16.6,17.05,16.6,17.05,870
VTB,20201215,11,11.3,11,11.2,20930
VTO,20201215,7.35,7.56,7.28,7.55,105450
YBM,20201215,5.13,5.2,5.12,5.12,52100
YEG,20201215,46.6,46.6,45.7,46,14230
VGC,20201215,25.6,25.75,25.2,25.65,223580
VHC,20201215,45.2,47.4,45,46.25,2083900
VHM,20201215,86.5,88.1,85,86,4050090
VIB,20201215,31.8,32.8,31.7,31.95,720170
VIC,20201215,108.9,108.9,106.7,107,1205700
VID,20201215,9.15,9.7,9.15,9.55,70810
VIP,20201215,7.81,8.33,7.72,8.33,1357780
VIS,20201215,17.2,18,17.2,18,5050
VJC,20201215,127,129,125,125,948860
VMD,20201215,22.45,22.45,21,21,2640
VND,20201215,21.95,23.05,21.8,22.9,3703050
VNE,20201215,4.82,5.15,4.8,5.15,388610
VNG,20201215,15.35,15.35,15.15,15.35,175780
VNL,20201215,16.35,16.8,15.7,16.8,1930
VNM,20201215,113,113.3,110.8,111.2,4572910
VNS,20201215,10.7,10.95,10.7,10.95,1470
TTF,20201215,5.74,5.74,5.66,5.67,3379980
TV2,20201215,53,53.1,52,52.4,278000
TVB,20201215,12,12.9,12,12.7,839780
TVS,20201215,12.3,12.3,12,12.2,47480
TVT,20201215,24,24,24,24,40
