<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
PDR,20201214,43,44.85,43,44.85,4062630
PET,20201214,15.35,16,15.15,15.85,3529230
PGC,20201214,21.85,22.5,21.7,22.5,40410
PGD,20201214,28,29.2,28,29.2,5560
PGI,20201214,20.9,20.9,19.3,20.8,25410
PHC,20201214,10.55,10.7,10.25,10.35,210390
PHR,20201214,62.5,62.5,61.7,62.4,520080
PIT,20201214,4.43,5,4.43,5,4150
PJT,20201214,10.35,10.4,10.1,10.4,2900
PLP,20201214,7.8,7.88,7.72,7.75,531610
PLX,20201214,53.3,54.5,53.2,54.5,1162870
PME,20201214,80.7,80.7,78.1,78.1,1930
PMG,20201214,12.75,13.1,12.75,13.05,1720
PNC,20201214,8.79,8.79,8.7,8.7,6930
LDG,20201214,6.85,6.97,6.82,6.92,5172450
LEC,20201214,13.4,13.4,13.4,13.4,10
LGC,20201214,59,62.8,55.3,62.8,1990
LGL,20201214,4.76,4.97,4.76,4.97,57000
LHG,20201214,32.6,33.4,32.45,33.2,255340
LIX,20201214,53.7,54.1,53.7,53.8,55240
LM8,20201214,11,11.25,11,11,1810
LPB,20201214,11.85,11.95,11.75,11.85,8880680
LSS,20201214,7.8,8,7.69,8,515050
MBB,20201214,21.6,21.9,21.6,21.85,14023310
MCG,20201214,1.82,1.84,1.82,1.84,13050
MDG,20201214,10.45,10.95,10.45,10.9,580
MHC,20201214,5.72,5.72,5.66,5.66,63650
MSH,20201214,40.9,41.95,40.5,41.5,96300
MSN,20201214,84.7,85.1,83.9,84.5,1079350
MWG,20201214,115.3,115.9,114.7,115.7,989600
NAF,20201214,19.55,20.9,19.1,20.8,519580
NAV,20201214,19.55,19.55,19.55,19.55,30
NBB,20201214,22.35,22.35,21.6,22.1,3360
NCT,20201214,71,71.1,70,71.1,64790
NHH,20201214,49.5,49.7,48.5,48.65,207450
NKG,20201214,14.7,14.8,14.55,14.55,5801220
NLG,20201214,29.15,29.45,28.95,29.15,1695760
NNC,20201214,40.1,40.4,39.4,40,80160
KHP,20201214,6.3,6.74,6.3,6.74,975170
KMR,20201214,2.66,2.79,2.66,2.68,123920
KOS,20201214,29.6,30.6,29.6,30.2,173360
KPF,20201214,16,16.5,15.5,16.5,60020
KSB,20201214,29.6,30.6,29.5,30.45,2729170
L10,20201214,19.95,19.95,19.95,19.95,1880
LAF,20201214,9.5,10.15,9.5,10.15,1200
LBM,20201214,33.2,33.2,33,33,350
LCG,20201214,12.6,12.8,12.25,12.8,5098590
LCM,20201214,0.71,0.72,0.7,0.72,27460
HDG,20201214,32,33.55,32,33.45,1964080
HHS,20201214,4.85,4.92,4.79,4.92,4403450
HID,20201214,2.54,2.55,2.51,2.55,109850
HII,20201214,15.4,15.6,15.3,15.4,176570
HMC,20201214,15.25,15.25,14.7,14.9,18450
HNG,20201214,14.6,14.6,14.3,14.4,2983800
HOT,20201214,35.65,35.65,35.65,35.65,120
HPG,20201214,39.4,39.5,38.95,39.25,14483540
HPX,20201214,27.6,27.7,27,27.7,484080
HQC,20201214,1.66,1.69,1.65,1.67,4942350
HRC,20201214,48,48,42.2,42.2,120
HSG,20201214,20.95,21.4,20.8,21.2,10562870
HSL,20201214,6.27,6.7,6.27,6.7,368580
HT1,20201214,17.1,17.15,16.85,16.9,1031090
HTI,20201214,14.45,14.8,14.05,14.65,178520
HTL,20201214,16.55,16.55,16.1,16.5,5030
HTN,20201214,43.3,43.7,42.95,43.45,123930
HTV,20201214,12.65,12.7,12.65,12.7,670
HU1,20201214,7.5,7.85,7.5,7.85,4400
HU3,20201214,7.31,7.31,7.31,7.31,50
HUB,20201214,19.9,20.4,19.7,19.9,33480
HVH,20201214,9.1,9.1,8.92,9.1,114450
HVN,20201214,27.85,27.85,27.5,27.7,1550880
HVX,20201214,3.26,3.26,3.26,3.26,90
IBC,20201214,22.2,22.5,22,22.25,74640
ICT,20201214,22.9,23.95,22.8,23.7,173240
IDI,20201214,6.38,6.68,6.35,6.46,3386290
IJC,20201214,14.5,15.2,14.5,15.2,1580270
ILB,20201214,25.9,26,25.4,26,171250
IMP,20201214,56.5,57.2,55.6,56.8,163870
ITA,20201214,5.35,5.55,5.31,5.42,16273450
ITC,20201214,15.4,15.4,15.2,15.2,7320
ITD,20201214,9.4,9.4,9.28,9.28,203720
JVC,20201214,4.62,4.7,4.62,4.69,352230
KBC,20201214,15.85,16.1,15.85,16.05,2185130
KDC,20201214,38.4,38.75,38.3,38.6,677070
KDH,20201214,28,28.65,27.95,28.3,2162070
GVR,20201214,21,22.35,21,22.35,5534040
HAG,20201214,4.74,4.83,4.7,4.81,9965120
HAH,20201214,17.3,17.4,16.95,17.1,860200
HAI,20201214,2.68,2.71,2.66,2.7,2462350
HAP,20201214,5.9,5.95,5.86,5.9,391340
HAR,20201214,4.58,4.8,4.51,4.75,1154660
HAX,20201214,18.4,18.8,18,18.2,355750
HBC,20201214,14.25,14.55,14.2,14.35,8428180
HCD,20201214,2.5,2.51,2.48,2.49,275230
HCM,20201214,28,29.2,27.5,28.75,5404280
HDB,20201214,22.3,22.5,22.2,22.35,3219050
HDC,20201214,32.25,33,32,32.2,554080
FLC,20201214,4.25,4.32,4.25,4.26,6609270
FMC,20201214,36,36.35,35.5,35.7,439250
FPT,20201214,57,58,56.9,57.2,1443760
FRT,20201214,25.8,27.2,25.55,27.2,4176460
FTM,20201214,1.3,1.3,1.26,1.27,75890
FTS,20201214,13.6,14.3,13.6,14.1,1434060
GAB,20201214,193.6,195.1,193.6,193.8,2400
GAS,20201214,86.1,87.2,85.8,87,860080
GDT,20201214,38.5,38.5,38.2,38.3,10630
GEG,20201214,17.4,17.7,17.3,17.7,1321450
GEX,20201214,20.9,20.95,20.7,20.75,6564760
GIL,20201214,44.5,46,44.5,45,356300
GMC,20201214,17.2,18.1,17.2,18.1,27590
GMD,20201214,31.3,32.45,31.3,31.85,7734180
GSP,20201214,11,11,11,11,1040
GTA,20201214,12.1,12.1,12.1,12.1,10
DVP,20201214,46.2,46.2,45.8,45.9,72210
DXG,20201214,15.15,15.15,14.8,14.95,4377700
DXV,20201214,3.46,3.46,3.46,3.46,1220
EIB,20201214,17.1,17.2,17.1,17.2,270440
ELC,20201214,7.45,7.52,7.45,7.49,307680
EVE,20201214,13.1,13.8,13.1,13.5,30200
EVG,20201214,5.85,5.97,5.85,5.85,613630
FCM,20201214,5.8,5.99,5.8,5.98,10950
FCN,20201214,12.1,12.2,12,12.1,1102250
FDC,20201214,14,14.5,14,14.5,150
FIR,20201214,25.4,25.6,25.4,25.55,67160
FIT,20201214,10.15,10.85,10.15,10.85,4283200
CMG,20201214,32.8,32.95,32.7,32.7,62190
CMV,20201214,13.7,15.6,13.7,15.6,1090
CMX,20201214,16,16,15.7,15.75,550510
CNG,20201214,19.5,19.55,19.4,19.55,70700
COM,20201214,46.95,46.95,46.55,46.9,1180
CRC,20201214,19.2,19.35,17.9,18.4,311040
CRE,20201214,32.55,32.7,32.35,32.4,1224540
CSM,20201214,16.2,16.35,16,16.3,138800
CSV,20201214,28.2,28.4,28.05,28.05,238180
CTD,20201214,71,71,69.9,70.3,1159890
CTF,20201214,21.3,21.45,21.2,21.45,75180
CTG,20201214,35.3,35.6,34.9,35.4,10847590
CTI,20201214,14,14.4,14,14.1,1287470
CTS,20201214,11,11.1,10.5,11.1,1001650
CVT,20201214,41.3,42.7,41,41.7,113190
D2D,20201214,56.5,56.5,55.8,56.3,293080
DAG,20201214,6.81,6.84,6.69,6.76,631950
DAH,20201214,3.77,3.8,3.75,3.76,772730
DAT,20201214,32.5,32.5,32,32,1080
DBD,20201214,44.7,44.95,44.25,44.25,62110
DBT,20201214,14.5,14.5,14,14,4390
DC4,20201214,10.8,11.25,10.8,10.9,4970
DCL,20201214,19.8,21.4,19.8,21.4,517130
DCM,20201214,12.6,12.7,12.4,12.4,3012670
DGC,20201214,48.3,48.4,47.8,48.05,633360
DGW,20201214,77.2,79.9,76.4,79.1,493950
DHA,20201214,44,44.9,43.95,44.4,26500
DHC,20201214,61.3,61.3,60.4,60.8,437780
DHG,20201214,105.2,106.3,105.2,105.2,6870
DHM,20201214,9.55,9.57,9.51,9.55,1006390
DIG,20201214,25.4,26.4,24.95,26.05,3857790
DLG,20201214,1.37,1.4,1.35,1.36,3194970
DMC,20201214,55.7,56.7,55.7,55.8,113080
DPG,20201214,30.1,30.3,29.7,29.95,712800
DPM,20201214,18,18,17.75,17.85,2729010
DPR,20201214,45.3,45.55,45.25,45.45,92480
DQC,20201214,15.75,16,15.75,15.8,36420
DRC,20201214,21.85,22.6,21.8,22.4,1440340
DRH,20201214,7.32,7.8,7.32,7.8,3654350
DRL,20201214,54,54.5,54,54.5,7890
DSN,20201214,47.2,47.2,47,47,24110
DTA,20201214,4.6,4.85,4.6,4.85,83780
DTL,20201214,6.39,6.39,6.39,6.39,20
CCL,20201214,7.74,7.8,7.66,7.75,305680
CDC,20201214,24.7,25,23.7,24.15,131510
CEE,20201214,18,18.2,17.9,18.2,56020
CHP,20201214,19.75,19.75,19.55,19.65,30900
CIG,20201214,2.05,2.05,1.93,2.02,2180
CII,20201214,18.8,18.95,18.65,18.75,1492510
CKG,20201214,13.25,13.25,12.9,13.15,1463800
CLC,20201214,31.5,31.5,31.1,31.3,11070
CLG,20201214,0.93,0.96,0.93,0.95,30620
CLL,20201214,30.6,30.6,30.4,30.4,1120
AAM,20201214,11,11.1,10.75,10.8,18490
ABT,20201214,29.9,31,29.9,31,130
ACB,20201214,28.3,28.5,28.1,28.2,7325960
ACC,20201214,13.8,13.9,13.3,13.9,109400
ACL,20201214,12.8,13,12.8,12.95,92650
ADS,20201214,10.55,10.55,9.9,10.55,46610
AGG,20201214,29.4,29.8,29.15,29.6,1696920
AGM,20201214,12.3,12.3,12.2,12.3,29060
AGR,20201214,7.82,8.36,7.82,8.36,4487130
AMD,20201214,2.67,2.68,2.65,2.66,1899370
ANV,20201214,22.4,22.4,21.7,21.95,452040
APC,20201214,22.2,22.7,22.2,22.5,48540
APG,20201214,9.93,10.2,9.9,9.93,1119720
APH,20201214,88.2,89.4,88.2,89.4,632320
ASG,20201214,37.3,38.2,37,37.2,10680
ASM,20201214,13.35,13.9,13.1,13.7,3973970
ASP,20201214,5.9,5.95,5.89,5.95,89890
AST,20201214,55.3,56.6,55.3,55.9,66620
BBC,20201214,64.8,64.9,61,63,10220
BCE,20201214,8.51,8.6,8.42,8.51,167990
BCG,20201214,9.33,9.33,9.23,9.25,901420
BCM,20201214,39.9,40.5,39.8,40.5,70140
BFC,20201214,16,16.25,16,16.15,283950
BHN,20201214,72.6,76.9,72.6,76.9,5960
BIC,20201214,20.5,20.8,20.35,20.7,190880
BID,20201214,46.15,46.55,45.85,46.5,2935490
BMC,20201214,11,11.3,10.95,11.3,60880
BMI,20201214,30.7,30.8,29.85,30.45,467170
BMP,20201214,65.8,65.8,64.1,64.4,165260
BRC,20201214,11,11.2,11,11.2,840
BSI,20201214,11.1,11.5,11,11.3,919130
BTP,20201214,14,14.3,14,14.2,19180
BTT,20201214,39,39,39,39,200
BVH,20201214,58,59.4,57.3,58.6,1530650
BWE,20201214,30.55,31,29.8,30.85,997270
C32,20201214,25.1,25.6,24.9,25.25,429890
C47,20201214,9.7,9.75,9.48,9.63,652990
CAV,20201214,69.8,70.5,69,70.5,290
CCI,20201214,13.35,14.25,13.3,14.25,7420
AAA,20201214,13,13.25,12.95,13.05,3149440
ABS,20201214,16.7,17.6,16.4,17.5,365170
CCTD2001,20201214,0.08,0.13,0.04,0.04,180820
CDPM2002,20201214,4.11,4.11,4.05,4.1,14500
CFPT2008,20201214,2.14,2.29,2.06,2.16,177310
CFPT2009,20201214,3.35,3.56,3.35,3.5,98810
CFPT2010,20201214,8.33,8.7,8.33,8.41,94770
CFPT2011,20201214,2.27,2.42,2.27,2.29,186350
CFPT2012,20201214,2.02,2.12,2.02,2.05,385280
CFPT2013,20201214,4.9,5.05,4.85,5.05,8100
CFPT2014,20201214,3.4,3.4,3.24,3.25,5040
CFPT2015,20201214,2.01,2.1,2.01,2.06,49520
CFPT2016,20201214,2.49,2.56,2.44,2.52,433560
CHDB2003,20201214,2.41,2.41,2.31,2.33,88670
CHDB2007,20201214,2.1,2.5,2.1,2.25,98140
CHDB2008,20201214,1.59,1.62,1.51,1.56,1312880
CHPG2002,20201214,8.6,8.66,8.6,8.62,15340
CHPG2010,20201214,3.9,4.11,3.9,4.1,1016660
CHPG2012,20201214,21.75,21.75,21.75,21.75,19990
CHPG2014,20201214,22.2,22.51,22.2,22.29,327910
CHPG2015,20201214,21.86,22.06,21.81,21.96,7640
CHPG2016,20201214,9.9,10.9,9.9,10.9,67090
CHPG2017,20201214,2.7,2.79,2.68,2.75,599880
CHPG2018,20201214,2.71,3.38,2.71,2.95,714740
CHPG2019,20201214,7.2,7.58,7.2,7.5,90050
CHPG2020,20201214,14.86,14.91,14.72,14.77,120820
CHPG2021,20201214,8,8,7.27,7.35,77850
CHPG2022,20201214,6.79,6.79,6.5,6.6,170030
CHPG2023,20201214,10.7,11.05,10.6,10.9,235320
CHPG2024,20201214,6.2,6.4,6.2,6.4,12610
CHPG2025,20201214,6.45,7.15,5.95,6.9,69660
CKDH2001,20201214,1.58,1.69,1.58,1.67,62190
CKDH2002,20201214,1.87,1.95,1.87,1.9,39200
CKDH2003,20201214,1.31,1.43,1.3,1.36,1047480
CMBB2007,20201214,3.99,4.1,3.99,4.06,25330
CMBB2008,20201214,5.7,5.92,5.7,5.92,61670
CMBB2009,20201214,3,3.4,3,3.39,605200
CMBB2010,20201214,6.66,6.89,6.66,6.89,61070
CMBB2011,20201214,6,6.24,6,6.17,520660
CMSN2001,20201214,3.77,3.77,3.72,3.72,25100
CMSN2006,20201214,5.74,5.82,5.7,5.74,55010
CMSN2007,20201214,3.01,3.03,2.94,2.96,84820
CMSN2009,20201214,2.63,2.68,2.55,2.6,179930
CMSN2010,20201214,15.69,15.74,15.24,15.4,17560
CMSN2011,20201214,6.93,6.93,6.57,6.79,6850
CMSN2012,20201214,13.8,13.8,13.15,13.15,90
CMSN2013,20201214,1.45,1.45,1.35,1.37,83400
CMSN2014,20201214,1,1.1,0.97,1.04,138320
CMWG2010,20201214,3.5,3.57,3.47,3.56,153390
CMWG2011,20201214,5.85,5.85,5.7,5.7,20000
CMWG2012,20201214,7.5,7.7,7.47,7.57,48630
CMWG2013,20201214,14.8,15.25,14.8,15.2,5360
CMWG2014,20201214,3.35,3.49,3.35,3.49,32740
CMWG2015,20201214,2.36,2.4,2.32,2.37,72740
CMWG2016,20201214,2.15,2.15,2.02,2.06,361970
CNVL2002,20201214,1.85,2,1.72,2,103800
CNVL2003,20201214,0.9,0.96,0.87,0.96,1241710
CPNJ2006,20201214,1.97,2,1.96,1.96,34980
CPNJ2008,20201214,5.8,5.87,5.8,5.8,35360
CPNJ2009,20201214,2.81,2.86,2.81,2.83,225770
CPNJ2010,20201214,3.05,3.08,3,3.03,27930
CREE2005,20201214,3.8,3.95,3.8,3.8,19570
CREE2006,20201214,2.25,2.38,2.24,2.27,193660
CROS2002,20201214,0.01,0.01,0.01,0.01,247530
CSBT2001,20201214,0.02,0.18,0.01,0.03,41410
CSBT2007,20201214,2.35,2.8,2.35,2.77,232370
CSTB2002,20201214,3.93,3.95,3.91,3.92,170350
CSTB2006,20201214,2.54,2.54,1.85,1.9,173480
CSTB2007,20201214,2.77,2.85,2.72,2.77,562890
CSTB2009,20201214,5,5.1,4.9,4.9,16750
CSTB2010,20201214,2.44,2.52,2.42,2.45,299450
CSTB2011,20201214,2.6,2.74,2.59,2.6,30410
CSTB2012,20201214,3.42,3.69,3.42,3.55,344360
CSTB2013,20201214,4.44,4.44,4.27,4.28,44130
CSTB2014,20201214,4.7,4.85,4.66,4.78,32910
CSTB2015,20201214,1.49,1.56,1.45,1.5,812460
CSTB2016,20201214,1.8,1.84,1.73,1.79,452750
CTCB2007,20201214,2.92,3.19,2.92,3.16,453830
CTCB2008,20201214,2.85,3.1,2.85,3.05,181170
CTCB2009,20201214,5,5.4,4.94,5.32,533110
CTCB2010,20201214,2.81,2.95,2.77,2.95,295210
CTCB2011,20201214,4.2,4.7,4.2,4.6,269070
CTCH2001,20201214,1.07,1.09,1.04,1.05,297200
CTCH2002,20201214,0.75,0.79,0.75,0.78,259090
CTCH2003,20201214,1.27,1.27,1.19,1.22,138990
CVHM2001,20201214,0.02,0.04,0.01,0.04,315040
CVHM2005,20201214,0.91,0.99,0.9,0.99,450850
CVHM2006,20201214,0.65,0.67,0.61,0.67,663090
CVHM2007,20201214,2.59,2.68,2.45,2.68,416890
CVHM2008,20201214,1.22,1.51,1.22,1.51,584950
CVHM2009,20201214,1.8,1.89,1.79,1.89,357020
CVHM2010,20201214,1.62,1.72,1.62,1.72,614670
CVIC2001,20201214,0.01,0.03,0.01,0.02,194520
CVIC2004,20201214,0.89,0.93,0.88,0.93,217500
CVIC2005,20201214,1.69,1.74,1.65,1.74,432490
CVIC2006,20201214,2.38,2.48,2.38,2.48,1351320
CVIC2007,20201214,0.66,0.7,0.66,0.7,249330
CVJC2001,20201214,0.01,0.02,0.01,0.01,280450
CVJC2004,20201214,0.97,1.1,0.97,1.1,272760
CVJC2005,20201214,2.47,2.8,2.47,2.8,228590
CVJC2006,20201214,1.25,1.4,1.25,1.39,1146200
CVNM2002,20201214,0.04,0.1,0.01,0.01,488340
CVNM2007,20201214,1.3,1.34,1.3,1.33,84610
CVNM2008,20201214,2.46,2.55,2.45,2.55,367480
CVNM2010,20201214,2.9,2.99,2.9,2.99,239280
CVNM2011,20201214,1.06,1.09,1.04,1.07,575910
CVNM2012,20201214,6.5,6.5,5.84,6.44,3750
CVNM2013,20201214,1.79,1.82,1.75,1.81,656900
CVNM2014,20201214,0.88,0.88,0.87,0.88,3940
CVNM2015,20201214,1.71,1.88,1.71,1.83,110720
CVNM2016,20201214,0.78,0.78,0.71,0.73,206920
CVPB2008,20201214,3.35,3.51,3.35,3.5,50080
CVPB2010,20201214,5.98,6.45,5.98,6.32,70
CVPB2011,20201214,3.15,3.28,3.12,3.2,722000
CVPB2012,20201214,3.5,3.5,3.26,3.37,320600
CVPB2013,20201214,3.05,4.5,3.05,4.5,19040
CVPB2014,20201214,2.83,2.98,2.8,2.9,88650
CVRE2003,20201214,0.02,0.02,0.01,0.01,558150
CVRE2007,20201214,0.42,0.53,0.42,0.5,635910
CVRE2008,20201214,1.04,1.12,1.04,1.12,340460
CVRE2009,20201214,0.73,0.84,0.73,0.84,499740
CVRE2010,20201214,0.63,0.72,0.58,0.72,428520
CVRE2011,20201214,0.83,1.05,0.83,1.05,282730
CVRE2012,20201214,1.27,1.5,1.27,1.44,568090
DBC,20201214,47.6,48.5,47.4,47.5,3845770
E1VFVN30,20201214,17,17.11,17,17.11,621860
FUEMAV30,20201214,11.95,11.95,11.94,11.95,100170
FUESSV30,20201214,12.63,13.3,12.52,12.68,42160
FUESSV50,20201214,14.75,14.9,14.75,14.9,62880
FUESSVFL,20201214,12.45,12.59,12.45,12.45,13380
FUEVFVND,20201214,15.8,16,15.8,15.93,771560
FUEVN100,20201214,13.05,13.2,13.05,13.2,3480
GTN,20201214,26.3,26.8,25.8,26.65,4444990
