<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FUCTVGF2,20201214,11.3,11.3,11.3,11.3,120
FUCVREIT,20201214,6.5,6.51,6.1,6.1,2100
VND,20201214,20.9,21.8,20.65,21.8,3575780
VNE,20201214,4.82,4.91,4.82,4.82,169750
VNG,20201214,14.75,15.35,14.75,15.35,226200
VNM,20201214,112.8,113.4,112.4,113.4,2535300
VNS,20201214,10.95,10.95,10.95,10.95,1800
VOS,20201214,2.24,2.37,2.09,2.2,2073290
VPB,20201214,28.7,28.95,28.4,28.7,5650800
VPD,20201214,14.5,14.7,14,14,17410
VPG,20201214,15.5,15.85,15.5,15.6,529270
VPH,20201214,4.36,4.45,4.32,4.39,77650
VPI,20201214,33.1,33.25,33.1,33.15,484530
VPS,20201214,12.4,13,12.4,12.8,18970
VRC,20201214,7.25,7.45,7.25,7.39,176010
VRE,20201214,29.1,30,29.05,30,17930230
VSC,20201214,53,54.5,53,53.2,167970
VSH,20201214,18.7,18.8,18.6,18.6,84240
VSI,20201214,16.75,16.75,16.7,16.7,6530
VTB,20201214,10.7,11.1,10.6,11.1,40040
VTO,20201214,7.45,7.45,7.4,7.45,8090
YBM,20201214,5.2,5.2,5.12,5.12,13100
YEG,20201214,45.55,47,44.9,46.4,24820
TTA,20201214,17.25,17.6,17.15,17.25,1363280
TTB,20201214,4.34,4.36,4.3,4.36,897360
TTF,20201214,5.62,5.79,5.61,5.74,5140200
TV2,20201214,53.1,53.8,52.2,53.2,246470
TVB,20201214,12.1,12.4,11.9,12.2,252410
TVS,20201214,11.5,12.4,11.5,12.3,30410
TVT,20201214,25.35,25.35,23.8,23.8,4380
TYA,20201214,14.45,14.45,14.15,14.45,28920
UDC,20201214,4.93,5.28,4.93,5.19,18410
UIC,20201214,47.4,47.5,47.4,47.5,430
VAF,20201214,12,12.8,12,12.75,730
VCB,20201214,97.2,99.9,95.9,99.9,931080
VCF,20201214,231.8,231.8,231,231,90
VCI,20201214,43.6,45.9,43.6,45.5,1292050
VDP,20201214,32.3,32.3,31.6,32.25,5110
VDS,20201214,9.6,10,9.6,9.85,40730
VGC,20201214,25.6,25.9,25.1,25.6,224780
VHC,20201214,45.2,45.9,45,45.1,1428280
VHM,20201214,85.4,87,85,87,2974170
VIB,20201214,32.1,32.4,31.85,31.85,778310
VIC,20201214,106.7,108.9,105.5,108.9,1122380
VID,20201214,9.84,9.86,9.56,9.83,81750
VIP,20201214,7.71,7.81,7.68,7.79,363760
VIS,20201214,17.85,18,17.75,17.75,12450
VJC,20201214,122.7,127,122.7,127,722460
VMD,20201214,22,22,21,22,2130
THI,20201214,27.8,27.8,27.8,27.8,190
TIP,20201214,35,35,34.25,34.4,41200
TLD,20201214,5.35,5.4,5.28,5.34,655360
TLG,20201214,38.6,39.55,38.5,39.2,139170
TLH,20201214,6.63,6.63,6.63,6.63,437040
TMP,20201214,42,42,42,42,1270
TMS,20201214,34.7,35.7,33.4,35.7,80240
TMT,20201214,5.6,5.87,5.16,5.85,10910
TN1,20201214,71.5,71.5,68,71.5,4330
TNA,20201214,13.4,13.45,13.2,13.2,335050
TNC,20201214,31,31,31,31,10
TNI,20201214,2.93,2.94,2.91,2.92,326790
TNT,20201214,1.75,1.78,1.72,1.72,68340
TPB,20201214,22.35,22.7,22.2,22.45,1913000
TPC,20201214,8.48,8.48,8,8.45,750
TRA,20201214,69,69,68.1,68.5,2430
TRC,20201214,35.5,36.5,35.5,36.5,140
TS4,20201214,3.69,3.69,3.55,3.65,11350
TSC,20201214,3.02,3.18,3.02,3.16,1827440
SZC,20201214,29,29.8,28.95,29.7,994820
SZL,20201214,53.2,53.9,53.2,53.4,34500
TAC,20201214,46.6,46.65,44.9,46.65,81430
TBC,20201214,24.65,24.75,24.65,24.65,4020
TCB,20201214,25.9,26.3,25.7,26.2,15694300
TCD,20201214,10.5,10.5,10.4,10.5,2980
TCH,20201214,19.4,19.5,19.25,19.25,4815760
TCL,20201214,28.75,29,28.2,28.35,324370
TCM,20201214,44.2,47.15,43.5,47.15,981470
TCO,20201214,10.4,10.5,10.4,10.5,2280
TCR,20201214,3.29,3.75,3.29,3.7,60
TCT,20201214,28.4,28.6,28.2,28.5,40400
TDC,20201214,9.61,9.79,9.6,9.67,433760
TDG,20201214,2.48,2.48,2.3,2.35,507610
TDH,20201214,8.71,9.08,8.65,9.08,4387200
TDM,20201214,26.85,27.2,26.8,27.1,301030
TDP,20201214,36.8,39.1,36.4,38.3,364780
TDW,20201214,28,30,26.9,26.9,3000
TEG,20201214,4.65,4.65,4.65,4.65,670
TGG,20201214,1.02,1.04,1.01,1.04,128240
THG,20201214,55.7,55.7,55,55.1,25250
SAB,20201214,204.7,204.7,203,204,53970
SAM,20201214,9.85,9.94,9.85,9.9,45800
SAV,20201214,17.7,17.7,17.2,17.5,53230
SBA,20201214,14.95,14.95,14.85,14.95,21580
SBT,20201214,18.8,20.05,18.8,19.8,4736580
SBV,20201214,12.15,12.15,11.7,12.15,93200
SC5,20201214,19.1,19.1,19.1,19.1,870
SCD,20201214,24.7,24.7,24.5,24.5,300
SCR,20201214,7.08,7.3,7.04,7.25,5590590
SCS,20201214,125,125.2,124.5,124.9,38740
SFG,20201214,7.38,7.39,7.15,7.22,55020
SFI,20201214,30.5,30.9,30.1,30.5,10170
SGN,20201214,70,71,69.7,70.8,15400
SGR,20201214,20.5,20.5,19.95,20.3,41640
SGT,20201214,5.35,5.65,5.35,5.45,9020
SHA,20201214,4.26,4.26,4.13,4.23,61700
SHI,20201214,8.75,9,8.64,9,638180
SHP,20201214,23.4,23.4,23,23.3,5680
SII,20201214,16.3,18.7,16.3,18.7,270
SJD,20201214,16.75,16.9,16.7,16.8,76020
SJF,20201214,2.15,2.18,2.12,2.15,1086640
SJS,20201214,26.1,26.6,26,26.5,166710
SKG,20201214,11.2,11.25,10.95,11.15,417280
SMA,20201214,8.5,8.7,8.4,8.7,140
SMB,20201214,43,43,41.5,42,38810
SMC,20201214,15.2,15.8,15.2,15.5,167880
SPM,20201214,12.7,13.15,12.7,13.15,15310
SRC,20201214,19.5,19.6,18.7,19.5,134730
SRF,20201214,13.35,13.6,12.8,13.6,2620
SSC,20201214,47.05,50,47.05,49.55,410
SSI,20201214,24.1,25.15,24,25.15,11829490
ST8,20201214,10.7,10.9,10.65,10.65,380
STB,20201214,15.95,16.1,15.8,15.95,15678170
STG,20201214,14.4,14.4,14.25,14.4,590
STK,20201214,20.3,20.7,20.3,20.65,151300
SVC,20201214,70.5,70.5,70.5,70.5,120
SVI,20201214,81.4,81.8,80,81.5,2490
PNJ,20201214,77.5,78,77.5,77.6,533210
POM,20201214,12.4,12.7,12.2,12.45,368540
POW,20201214,11.75,11.95,11.65,11.9,14781700
PPC,20201214,24.3,24.5,24.25,24.4,384460
PSH,20201214,17.2,17.3,17.1,17.3,134830
PTB,20201214,59.6,61,59,60,252720
PTC,20201214,8.45,8.45,8.45,8.45,10
PTL,20201214,5.9,5.9,5.68,5.7,13430
PVD,20201214,13.6,13.95,13.55,13.8,11710020
PVT,20201214,13.3,13.5,13.25,13.45,3563810
PXI,20201214,3.22,3.3,3.16,3.27,29750
PXS,20201214,6.85,7.28,6.72,7.13,483150
PXT,20201214,1.43,1.43,1.36,1.41,31430
QBS,20201214,2.39,2.39,2.26,2.32,73430
QCG,20201214,6.8,7.16,6.78,7.1,1387700
RAL,20201214,133.1,133.5,132.5,133,10460
RDP,20201214,7.8,7.88,7.66,7.88,10990
REE,20201214,47.9,48.4,47.5,47.55,457190
RIC,20201214,4.3,4.4,4.3,4.4,1720
ROS,20201214,2.17,2.22,2.17,2.18,4253180
S4A,20201214,27.6,27.6,27.4,27.4,1270
NSC,20201214,79.5,80.2,79,80.1,16820
NT2,20201214,23.65,23.7,23.45,23.6,672470
NTL,20201214,22.3,22.7,22.3,22.55,469610
NVL,20201214,63.8,64.8,63.2,64.4,2200880
NVT,20201214,6.29,6.34,5.6,5.61,19290
OGC,20201214,7.2,7.59,7.06,7.4,767680
OPC,20201214,59,59,57.5,57.5,14830
PAC,20201214,27.05,27.5,27.05,27.05,15970
PAN,20201214,22.35,23.6,22.35,22.95,1593410
PC1,20201214,21.75,21.8,21.5,21.65,445980
PDN,20201214,80,80,77.1,79,820
