<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MSR,20201215,17.6,18.7,17.5,18.1,2347617
MTA,20201215,6.7,6.7,6.6,6.7,66310
MTL,20201215,5.4,5.4,5.4,5.4,2100
MVC,20201215,8.7,9.7,8.6,9.7,2700
MVN,20201215,10.1,10.1,9.9,9.9,20000
NAB,20201215,14.8,14.8,12.6,14.7,71472
NAS,20201215,27.5,27.5,27.5,27.5,200
NBE,20201215,7.5,7.5,7.4,7.4,2100
NCP,20201215,9.5,9.5,9,9,1100
NCS,20201215,18.2,18.2,18.2,18.2,2600
ND2,20201215,27.5,28.5,27.5,28.5,1600
NED,20201215,8.6,8.6,8.6,8.6,18
NHT,20201215,36.4,36.5,36.4,36.4,2700
NNG,20201215,9.4,10,9.4,10,3900
NS3,20201215,18.4,18.4,18.4,18.4,1500
NSG,20201215,11,11,11,11,200
NTC,20201215,245,249.5,243,249,58826
NTW,20201215,19,19,19,19,500
NUE,20201215,8.3,8.3,8.3,8.3,1700
OIL,20201215,9.1,9.2,8.9,9,1775751
ORS,20201215,12.2,12.5,11.8,11.9,687145
PAS,20201215,15.1,15.3,14.9,15.1,358400
PBC,20201215,14.5,14.5,14.5,14.5,520
PCC,20201215,16.1,16.1,16.1,16.1,29
PDT,20201215,10.7,10.7,10.7,10.7,100
PDV,20201215,5.7,5.7,5.7,5.7,1800
PFL,20201215,1.9,2,1.9,1.9,259520
PGV,20201215,15.8,16,15.5,15.9,32900
PND,20201215,11.6,11.6,11.6,11.6,100
PNG,20201215,15.4,15.4,13.1,13.6,700
PNP,20201215,13.4,13.4,13.4,13.4,100
POS,20201215,15,15,14.5,14.9,100600
POV,20201215,5.5,5.5,5.5,5.5,300
PPH,20201215,17.6,17.9,17.6,17.9,800
PRT,20201215,11.9,12,11.9,12,2900
PSB,20201215,11.8,15,11.8,11.8,1501
PSL,20201215,24.5,24.5,24,24,2369
PSP,20201215,7.4,7.6,7.4,7.4,3500
PTT,20201215,4.2,4.2,4,4,1000
PVM,20201215,18.1,18.5,18,18.5,37300
PVO,20201215,3.3,3.4,3.2,3.2,8100
PVP,20201215,10,10.1,10,10,244700
PVV,20201215,0.8,0.9,0.8,0.8,69810
PWA,20201215,12.5,12.5,12.2,12.4,194590
PXL,20201215,9.8,9.9,9.6,9.8,210371
QHW,20201215,16.6,16.6,16.6,16.6,100
QNC,20201215,4.9,5,4.7,4.8,18100
QNS,20201215,37.8,38.3,37.5,38.2,312020
QTP,20201215,10.7,10.8,10.7,10.8,51500
RTB,20201215,12,12.5,12,12.5,1400
SAC,20201215,9.3,9.6,9,9,6800
SAS,20201215,27.4,27.4,27.3,27.3,10734
SB1,20201215,7.3,7.6,7.3,7.6,800
SBD,20201215,10,10,10,10,15000
SBH,20201215,31,31,31,31,20
SBS,20201215,2.5,2.5,2.4,2.5,2329770
SCJ,20201215,2.6,2.7,2.5,2.7,40310
SCL,20201215,8.2,8.2,7.8,7.9,45284
SD3,20201215,3.2,3.2,3.2,3.2,110
SD7,20201215,3.1,3.2,3.1,3.2,48300
SDD,20201215,2.1,2.1,2.1,2.1,30600
SDK,20201215,29.5,29.5,26.5,26.5,1900
SDP,20201215,1.2,1.2,1.2,1.2,6000
SEA,20201215,26.6,27,26.1,26.9,44037
SGB,20201215,12.9,12.9,12.8,12.8,16830
SGP,20201215,11.3,11.5,11.3,11.5,34600
SGS,20201215,16,16,16,16,1000
SHC,20201215,8.6,8.6,8.6,8.6,3300
SID,20201215,13,13,13,13,2820
SIG,20201215,3,3,3,3,3000
SIP,20201215,160.5,161.6,119.6,161.6,390958
SKH,20201215,19.7,20.5,19.7,19.8,10100
SKV,20201215,21.1,21.2,21.1,21.2,200
SNZ,20201215,30.6,32.6,30.6,31.9,119977
SOV,20201215,32,32,32,32,100
SPD,20201215,9.3,9.3,9.3,9.3,1836
SPV,20201215,14.4,14.4,14.4,14.4,400
SRB,20201215,0.9,0.9,0.9,0.9,3100
SRT,20201215,3.4,3.4,3.4,3.4,4000
SSN,20201215,5.3,5.4,5.1,5.2,65700
STH,20201215,14,14,13.8,13.9,59300
SWC,20201215,16.2,16.2,15.8,15.9,13920
SZE,20201215,13.8,14.9,13.6,14.5,91180
TCW,20201215,25.8,25.8,25.5,25.8,27601
TDS,20201215,12.8,12.8,12.3,12.5,1500
THU,20201215,8,8,8,8,5700
TID,20201215,16,16,16,16,1400
TIS,20201215,10.3,10.3,10.2,10.2,620
TL4,20201215,7.9,7.9,7.9,7.9,2400
TLP,20201215,11.9,12.5,10.8,10.8,5100
TLT,20201215,9.1,9.1,9.1,9.1,2047
TMG,20201215,30,30,30,30,100
TR1,20201215,18,18,18,18,500
TTD,20201215,54.4,54.4,54.4,54.4,500
TTN,20201215,9.3,9.7,9.3,9.7,115449
TVM,20201215,9,9,9,9,100
TVN,20201215,7.9,7.9,7.7,7.7,120943
TVP,20201215,26.5,26.5,26.5,26.5,200
UDJ,20201215,9.8,10.5,9.6,10.3,66600
VBB,20201215,11.5,11.5,11.4,11.4,300
VCA,20201215,11,11,10.6,10.6,1530
VCP,20201215,50.7,51,50,50.9,73100
VCR,20201215,19,19.7,16.3,19.2,92460
VCX,20201215,6.5,6.5,5.2,5.2,2100
VE9,20201215,1.3,1.3,1.3,1.3,20350
VEA,20201215,51,51.5,50.4,50.7,312067
VEC,20201215,11.5,11.5,11.2,11.4,15600
VEF,20201215,84.5,84.5,83,84.2,14200
VET,20201215,51.8,51.8,51.8,51.8,100
VFC,20201215,12.3,12.3,12.3,12.3,100
VFS,20201215,7.3,7.3,6.4,6.4,38110
VGG,20201215,49.7,49.8,49,49.4,53410
VGI,20201215,33.5,33.6,32.7,32.9,1359478
VGR,20201215,30,30,30,30,200
VGT,20201215,9.6,9.7,9.5,9.6,426226
VGV,20201215,10,10,10,10,3900
VHG,20201215,0.8,0.8,0.7,0.8,35900
VIM,20201215,22,22,22,22,500
VIW,20201215,7.9,8.2,7.9,8.2,300
VLC,20201215,37.1,41,36.9,40.9,283246
VMG,20201215,4.6,4.6,4,4.6,1600
VNA,20201215,3.7,4.1,3.5,4,590301
VNB,20201215,13.3,13.3,13,13,10400
VNH,20201215,1,1,0.9,0.9,9500
VNP,20201215,8,8.2,7.9,8.1,95500
VOC,20201215,22.3,24.1,21.8,23.3,1011245
VQC,20201215,18.6,18.6,18.6,18.6,100
VRG,20201215,25.5,25.9,25.1,25.5,385220
VSN,20201215,26.5,26.5,26,26,2112
VTA,20201215,5.6,5.7,5.6,5.7,300
VTD,20201215,10.4,10.5,10.2,10.4,51405
VTE,20201215,4.3,4.3,4.3,4.3,74
VTK,20201215,30.5,30.5,30.1,30.4,10853
VTP,20201215,110,111.7,110,110,131643
VTR,20201215,37.7,38.5,37.7,38,97053
VTX,20201215,12.4,12.4,12.4,12.4,3100
VXP,20201215,25.8,34.8,25.8,34.8,4800
WSB,20201215,44.3,49.9,44.3,45.2,41569
WTC,20201215,22.5,22.5,22.4,22.5,500
XLV,20201215,8.8,8.8,8.8,8.8,100
XMC,20201215,11.2,11.2,10,11.1,1030
XPH,20201215,6.1,6.2,6.1,6.1,18500
