<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
UPCOM-INDEX,20200813,56.78,57.03,56.74,56.86,17778659
UPCOM-INDEX,20200812,56.51,56.86,56.44,56.78,25955791
UPCOM-INDEX,20200811,56.30,56.62,56.26,56.52,24623556
UPCOM-INDEX,20200810,56.11,56.39,55.92,56.30,15993506
UPCOM-INDEX,20200807,56.26,56.38,55.97,56.22,21504655
UPCOM-INDEX,20200806,56.05,56.88,55.97,56.12,25775855
UPCOM-INDEX,20200805,55.89,56.14,55.74,56.06,20077126
UPCOM-INDEX,20200804,55.51,56.04,55.50,55.89,19339475
UPCOM-INDEX,20200803,54.79,55.51,54.62,55.51,33883653
UPCOM-INDEX,20200731,54.86,55.11,54.53,54.80,25241528
UPCOM-INDEX,20200730,54.17,54.90,54.12,54.86,17394397
UPCOM-INDEX,20200729,55.27,55.27,53.59,54.17,36996960
UPCOM-INDEX,20200728,53.65,55.34,53.51,55.27,29409831
UPCOM-INDEX,20200727,55.67,55.67,53.47,53.65,43903087
UPCOM-INDEX,20200724,57.31,57.35,55.39,55.78,42623367
UPCOM-INDEX,20200723,57.57,57.69,56.98,57.32,14775271
UPCOM-INDEX,20200722,57.36,57.76,57.35,57.57,27263094
UPCOM-INDEX,20200721,57.29,57.41,56.98,57.36,19886077
UPCOM-INDEX,20200720,57.57,57.65,57.10,57.29,15909685
UPCOM-INDEX,20200717,57.03,57.57,56.94,57.57,30474711
